type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;2M 15.94S;135,94;78
Three Lap;No;JWhalls;NTSC;1997-05-27;2M 11.37S;131,37;79
Three Lap;No;David B;NTSC;1997-08-14;2M 9.81S;129,81;122
Three Lap;No;Zwartjes;PAL;1997-12-14;2M 9.58S;129,58;16
Three Lap;No;Peter E;PAL;1997-12-30;2M 9.38S;129,38;2
Three Lap;No;Peter E;PAL;1998-01-01;2M 8.98S;128,98;81
Three Lap;No;Peter E;PAL;1998-03-23;2M 8.3S;128,30;202
Three Lap;No;JWhalls;NTSC;1998-10-11;2M 7.85S;127,85;66
Three Lap;No;Peter E;NTSC;1998-12-16;2M 7.79S;127,79;60
Three Lap;No;Penev;PAL;1999-02-14;2M 7.37S;127,37;1
Three Lap;No;Penev;PAL;1999-02-15;2M 7.15S;127,15;111
Three Lap;No;Peter E;NTSC;1999-06-06;2M 6.93S;126,93;33
Three Lap;No;JWhalls;NTSC;1999-07-09;2M 6.72S;126,72;114
Three Lap;No;Zwartjes;PAL;1999-10-31;2M 6.23S;126,23;414
Three Lap;No;Mike S;NTSC;2000-12-18;2M 6.2S;126,20;211
Three Lap;No;Zwartjes;PAL;2001-07-16;2M 6.2S;126,20;1
Three Lap;No;Zwartjes;PAL;2001-07-17;2M 6.06S;126,06;226
Three Lap;No;Sami;PAL;2002-02-28;2M 5.96S;125,96;111
Three Lap;No;Lacey;PAL;2002-06-19;2M 5.95S;125,95;290
Three Lap;No;Sami;PAL;2003-04-05;2M 5.93S;125,93;14
Three Lap;No;Lacey;PAL;2003-04-10;2M 5.93S;125,93;9
Three Lap;No;Sami;PAL;2003-04-19;2M 5.65S;125,65;85
Three Lap;No;MJ;PAL;2003-07-13;2M 5.57S;125,57;124
Three Lap;No;MJ;PAL;2003-11-14;2M 5.54S;125,54;881
Three Lap;No;Marcelo;NTSC;2006-04-13;2M 5.52S;125,52;1
Three Lap;No;Marcelo;NTSC;2006-04-14;2M 5.42S;125,42;2
Three Lap;No;Marcelo;NTSC;2006-04-16;2M 5.36S;125,36;683
Three Lap;No;MJ;PAL;2008-02-28;2M 5.31S;125,31;1179
Three Lap;No;MR;PAL;2011-05-22;2M 5.27S;125,27;13
Three Lap;No;MR;PAL;2011-06-04;2M 5.17S;125,17;47
Three Lap;No;MJ;PAL;2011-07-21;2M 4.99S;124,99;542
Three Lap;No;MR;PAL;2013-01-13;2M 4.89S;124,89;10
Three Lap;No;MJ;PAL;2013-01-23;2M 4.85S;124,85;11
Three Lap;No;MR;PAL;2013-02-03;2M 4.83S;124,83;179
Three Lap;No;MJ;PAL;2013-08-01;2M 4.77S;124,77;1
Three Lap;No;MR;PAL;2013-08-02;2M 4.74S;124,74;18
Three Lap;No;MJ;PAL;2013-08-20;2M 4.65S;124,65;2
Three Lap;No;MR;PAL;2013-08-22;2M 4.61S;124,61;36
Three Lap;No;MJ;PAL;2013-09-27;2M 4.59S;124,59;1
Three Lap;No;MJ;PAL;2013-09-28;2M 4.5S;124,50;5
