type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Launspach;NTSC;1997-05-27;2M 21.22S;141,22;81
Three Lap;No;Launspach;NTSC;1997-08-16;2M 17.53S;137,53;209
Three Lap;No;Zwartjes;PAL;1998-01-14;2M 17.53S;137,53;58
Three Lap;No;Jonathan;NTSC;1998-03-13;2M 16.95S;136,95;109
Three Lap;No;Jonathan;NTSC;1998-06-30;2M 16.5S;136,50;83
Three Lap;No;Peter E;NTSC;1998-09-21;2M 16.44S;136,44;60
Three Lap;No;Booth;NTSC;1998-11-20;2M 16.29S;136,29;26
Three Lap;No;Penev;PAL;1998-12-16;2M 16.19S;136,19;7
Three Lap;No;Penev;PAL;1998-12-23;2M 16.14S;136,14;65
Three Lap;No;Penev;PAL;1999-02-26;2M 15.43S;135,43;28
Three Lap;No;Peter E;NTSC;1999-03-26;2M 15.41S;135,41;33
Three Lap;No;Peter E;NTSC;1999-04-28;2M 15.4S;135,40;174
Three Lap;No;Zwartjes;PAL;1999-10-19;2M 14.37S;134,37;143
Three Lap;No;Zwartjes;PAL;2000-03-10;2M 14.07S;134,07;4
Three Lap;No;Zwartjes;PAL;2000-03-14;2M 13.95S;133,95;724
Three Lap;No;Sami;PAL;2002-03-08;2M 13.87S;133,87;379
Three Lap;No;Lacey;PAL;2003-03-22;2M 13.86S;133,86;95
Three Lap;No;MJ;PAL;2003-06-24;2M 13.86S;133,86;1
Three Lap;No;MJ;PAL;2003-06-25;2M 13.53S;133,53;415
Three Lap;No;Luke B;NTSC;2004-08-13;2M 13.33S;133,33;159
Three Lap;No;Lacey;PAL;2005-01-19;2M 13.2S;133,20;26
Three Lap;No;MJ;PAL;2005-02-14;2M 13.07S;133,07;1153
Three Lap;No;Lacey;PAL;2008-04-12;2M 13.03S;133,03;244
Three Lap;No;MJ;PAL;2008-12-12;2M 12.9S;132,90;1104
Three Lap;No;MR;PAL;2011-12-21;2M 12.78S;132,78;36
Three Lap;No;MJ;PAL;2012-01-26;2M 12.73S;132,73;514
Three Lap;No;MR;PAL;2013-06-23;2M 12.68S;132,68;882
Three Lap;No;abney317;PAL;2015-11-22;2M 12.61S;132,61;1
Three Lap;No;MR;PAL;2015-11-23;2M 12.55S;132,55;42
Three Lap;No;abney317;PAL;2016-01-04;2M 12.54S;132,54;6
Three Lap;No;MR;PAL;2016-01-10;2M 12.49S;132,49;4
Three Lap;No;abney317;PAL;2016-01-14;2M 12.46S;132,46;15
Three Lap;No;MR;PAL;2016-01-29;2M 12.4S;132,40;907
Three Lap;No;Dan;PAL;2018-07-24;2M 12.39S;132,39;0
Three Lap;No;MR;PAL;2018-07-24;2M 12.28S;132,28;486
Three Lap;No;Dan;PAL;2019-04-22;2M 12.28S;132,28;214
Three Lap;No;MR;PAL;2019-11-22;2M 12.26S;132,26;202
Three Lap;No;Dan;PAL;2020-06-11;2M 12.16S;132,16;42
Three Lap;No;MR;PAL;2020-07-23;2M 12.06S;132,06;194
Three Lap;No;Dan;PAL;2021-02-02;2M 12S;132,00;24
Single Lap;No;Launspach;NTSC;1997-05-27;46.06S;46,06;95
Single Lap;No;JWhalls;NTSC;1997-08-30;45.29S;45,29;7
Single Lap;No;Jonathan;NTSC;1997-09-06;45.2S;45,20;188
Single Lap;No;Jonathan;NTSC;1998-03-13;44.96S;44,96;118
Single Lap;No;Booth;NTSC;1998-06-15;44.87S;44,87;55
Single Lap;No;Penev;PAL;1998-08-09;44.87S;44,87;24
Single Lap;No;Penev;PAL;1998-09-02;44.69S;44,69;4
Single Lap;No;Penev;PAL;1998-09-06;44.61S;44,61;5
Single Lap;No;Penev;PAL;1998-09-11;44.58S;44,58;18
Single Lap;No;Penev;PAL;1998-09-29;44.52S;44,52;52
Single Lap;No;Booth;NTSC;1998-11-20;44.51S;44,51;75
Single Lap;No;Booth;NTSC;1999-02-03;44.38S;44,38;51
Single Lap;No;Peter E;NTSC;1999-03-26;44.21S;44,21;71
Single Lap;No;Zwartjes;PAL;1999-06-05;43.97S;43,97;126
Single Lap;No;Zwartjes;PAL;1999-10-09;43.77S;43,77;153
Single Lap;No;Zwartjes;PAL;2000-03-10;43.63S;43,63;239
Single Lap;No;Sami;PAL;2000-11-04;43.55S;43,55;963
Single Lap;No;MJ;PAL;2003-06-25;43.51S;43,51;412
Single Lap;No;Luke B;NTSC;2004-08-10;43.43S;43,43;160
Single Lap;No;Lacey;PAL;2005-01-17;43.42S;43,42;30
Single Lap;No;MJ;PAL;2005-02-16;43.35S;43,35;2499
Single Lap;No;MR;PAL;2011-12-21;43.3S;43,30;37
Single Lap;No;MJ;PAL;2012-01-27;43.24S;43,24;515
Single Lap;No;MR;PAL;2013-06-25;43.2S;43,20;1983
Single Lap;No;Dan;PAL;2018-07-22;43.2S;43,20;130
Single Lap;No;abney317;PAL;2018-11-29;43.19S;43,19;143
Single Lap;No;MR;PAL;2019-04-21;43.17S;43,17;653
Single Lap;No;Dan;PAL;2020-06-11;43.17S;43,17;236
Single Lap;No;Dan;PAL;2021-02-02;43.15S;43,15;24
