type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;2M 7.96S;127,96;78
Three Lap;No;Launspach;NTSC;1997-05-27;2M 3.65S;123,65;95
Three Lap;No;Booth;NTSC;1997-08-30;2M 1.42S;121,42;7
Three Lap;No;Booth;NTSC;1997-09-06;2M 0.91S;120,91;188
Three Lap;No;Booth;NTSC;1998-03-13;2M 0.23S;120,23;130
Three Lap;No;Penev;PAL;1998-07-21;2M 0.15S;120,15;30
Three Lap;No;Peter E;PAL;1998-08-20;1M 59.97S;119,97;6
Three Lap;No;Penev;PAL;1998-08-26;1M 59.91S;119,91;6
Three Lap;No;Peter E;PAL;1998-09-01;1M 59.82S;119,82;1
Three Lap;No;Penev;PAL;1998-09-02;1M 59.75S;119,75;9
Three Lap;No;Penev;PAL;1998-09-11;1M 59.69S;119,69;2
Three Lap;No;Penev;PAL;1998-09-13;1M 59.52S;119,52;9
Three Lap;No;Penev;PAL;1998-09-22;1M 59.33S;119,33;6
Three Lap;No;Penev;PAL;1998-09-28;1M 59.21S;119,21;13
Three Lap;No;Penev;PAL;1998-10-11;1M 59.05S;119,05;62
Three Lap;No;Penev;PAL;1998-12-12;1M 58.98S;118,98;3
Three Lap;No;Penev;PAL;1998-12-15;1M 58.86S;118,86;8
Three Lap;No;Penev;PAL;1998-12-23;1M 58.68S;118,68;1
Three Lap;No;Penev;PAL;1998-12-24;1M 58.49S;118,49;8
Three Lap;No;Penev;PAL;1999-01-01;1M 58S;118,00;124
Three Lap;No;Penev;PAL;1999-05-05;1M 57.93S;117,93;13
Three Lap;No;Penev;PAL;1999-05-18;1M 57.83S;117,83;0
Three Lap;No;Penev;PAL;1999-05-18;1M 57.67S;117,67;2
Three Lap;No;Penev;PAL;1999-05-20;1M 57.56S;117,56;25
Three Lap;No;Penev;PAL;1999-06-14;1M 57.36S;117,36;531
Three Lap;No;Mike S;NTSC;2000-11-26;1M 57.28S;117,28;962
Three Lap;No;MJ;PAL;2003-07-16;1M 57.21S;117,21;340
Three Lap;No;Troy;NTSC;2004-06-16;1M 57.21S;117,21;4
Three Lap;No;Troy;NTSC;2004-06-20;1M 57.04S;117,04;13
Three Lap;No;Troy;NTSC;2004-07-03;1M 57.01S;117,01;3
Three Lap;No;MJ;PAL;2004-07-06;1M 56.99S;116,99;9
Three Lap;No;Troy;NTSC;2004-07-15;1M 56.72S;116,72;209
Three Lap;No;Troy;NTSC;2005-02-09;1M 56.52S;116,52;23
Three Lap;No;Troy;NTSC;2005-03-04;1M 56.51S;116,51;0
Three Lap;No;Troy;NTSC;2005-03-04;1M 56.45S;116,45;15
Three Lap;No;Troy;NTSC;2005-03-19;1M 56.25S;116,25;2577
Three Lap;No;MJ;PAL;2012-04-08;1M 56.15S;116,15;602
Three Lap;No;MR;PAL;2013-12-01;1M 56.14S;116,14;963
Three Lap;No;MR;PAL;2016-07-21;1M 56.08S;116,08;919
Three Lap;No;Dan;PAL;2019-01-26;1M 56.05S;116,05;53
Three Lap;No;MR;PAL;2019-03-20;1M 56.05S;116,05;0
Three Lap;No;MR;PAL;2019-03-20;1M 56S;116,00;449
Three Lap;No;Dan;PAL;2020-06-11;1M 55.97S;115,97;33
Three Lap;No;MR;PAL;2020-07-12;1M 55.97S;115,97;2
Three Lap;No;MR;PAL;2020-07-14;1M 55.93S;115,93;227
Single Lap;No;Gregg G;NTSC;1997-03-10;42.04S;42,04;78
Single Lap;No;Launspach;NTSC;1997-05-27;40.47S;40,47;95
Single Lap;No;Jason E;NTSC;1997-08-30;39.63S;39,63;7
Single Lap;No;Booth;NTSC;1997-09-06;39.57S;39,57;188
Single Lap;No;Booth;NTSC;1998-03-13;39.41S;39,41;118
Single Lap;No;Booth;NTSC;1998-07-09;39.31S;39,31;42
Single Lap;No;Peter E;PAL;1998-08-20;39.23S;39,23;6
Single Lap;No;Penev;PAL;1998-08-26;39.06S;39,06;36
Single Lap;No;Penev;PAL;1998-10-01;39.02S;39,02;0
Single Lap;No;Penev;PAL;1998-10-01;39.01S;39,01;2
Single Lap;No;Penev;PAL;1998-10-03;38.98S;38,98;5
Single Lap;No;Penev;PAL;1998-10-08;38.95S;38,95;9
Single Lap;No;Penev;PAL;1998-10-17;38.93S;38,93;59
Single Lap;No;Penev;PAL;1998-12-15;38.91S;38,91;0
Single Lap;No;Penev;PAL;1998-12-15;38.71S;38,71;30
Single Lap;No;Penev;PAL;1999-01-14;38.69S;38,69;0
Single Lap;No;Penev;PAL;1999-01-14;38.59S;38,59;15
Single Lap;No;Penev;PAL;1999-01-29;38.53S;38,53;136
Single Lap;No;Penev;PAL;1999-06-14;38.43S;38,43;10
Single Lap;No;Penev;PAL;1999-06-24;38.29S;38,29;2036
Single Lap;No;Troy;NTSC;2004-11-09;38.28S;38,28;71
Single Lap;No;Troy;NTSC;2005-01-19;38.24S;38,24;44
Single Lap;No;Troy;NTSC;2005-03-04;38.19S;38,19;2589
Single Lap;No;MJ;PAL;2011-08-16;38.19S;38,19;233
Single Lap;No;MR;PAL;2012-03-21;38.19S;38,19;15
Single Lap;No;MJ;PAL;2012-04-05;38.14S;38,14;592
Single Lap;No;MR;PAL;2013-11-18;38.12S;38,12;1339
Single Lap;No;Marcos;PAL;2017-07-19;38.1S;38,10;195
Single Lap;No;MR;PAL;2018-01-30;38.08S;38,08;863
Single Lap;No;Dan;PAL;2020-06-11;38.07S;38,07;36
Single Lap;No;MR;PAL;2020-07-17;38.07S;38,07;0
Single Lap;No;MR;PAL;2020-07-17;38.02S;38,02;224
Three Lap;Yes;Wonn;NTSC;1997-04-10;1M 51.26S;111,26;0
Three Lap;Yes;Booth;NTSC;1997-04-10;1M 48.62S;108,62;21
Three Lap;Yes;Booth;NTSC;1997-05-01;1M 47S;107,00;31
Three Lap;Yes;ABE;NTSC;1997-06-01;1M 39.79S;99,79;23
Three Lap;Yes;Wonn;NTSC;1997-06-24;1M 29.6S;89,60;67
Three Lap;Yes;Wonn;NTSC;1997-08-30;1M 27.14S;87,14;404
Three Lap;Yes;Jonathan;PAL;1998-10-08;1M 23.53S;83,53;0
Three Lap;Yes;Penev;PAL;1998-10-08;1M 23.52S;83,52;54
Three Lap;Yes;Penev;PAL;1998-12-01;1M 23.3S;83,30;175
Three Lap;Yes;Penev;PAL;1999-05-25;1M 22.18S;82,18;10
Three Lap;Yes;Penev;PAL;1999-06-04;1M 21.66S;81,66;98
Three Lap;Yes;Penev;PAL;1999-09-10;1M 21.64S;81,64;234
Three Lap;Yes;Mike S;NTSC;2000-05-01;1M 21.23S;81,23;846
Three Lap;Yes;Penev;PAL;2002-08-25;1M 21.12S;81,12;9
Three Lap;Yes;Penev;PAL;2002-09-03;1M 21.1S;81,10;0
Three Lap;Yes;Penev;PAL;2002-09-03;1M 20.94S;80,94;1203
Three Lap;Yes;Karlo;NTSC;2005-12-19;1M 20.21S;80,21;80
Three Lap;Yes;Myles;NTSC;2006-03-09;1M 19.11S;79,11;1
Three Lap;Yes;Karlo;NTSC;2006-03-10;1M 18.97S;78,97;109
Three Lap;Yes;Karlo;NTSC;2006-06-27;1M 18.53S;78,53;0
Three Lap;Yes;Karlo;NTSC;2006-06-27;1M 17.66S;77,66;292
Three Lap;Yes;VAJ;PAL;2007-04-15;1M 15.1S;75,10;13
Three Lap;Yes;Karlo;NTSC;2007-04-28;1M 12.99S;72,99;10
Three Lap;Yes;VAJ;PAL;2007-05-08;1M 12.5S;72,50;2742
Three Lap;Yes;abney317;PAL;2014-11-09;1M 11.54S;71,54;1
Three Lap;Yes;abney317;PAL;2014-11-10;1M 3.18S;63,18;67
Three Lap;Yes;abney317;PAL;2015-01-16;53.18S;53,18;431
Three Lap;Yes;abney317;NTSC;2016-03-22;52.57S;52,57;523
Three Lap;Yes;abney317;NTSC;2017-08-27;51.44S;51,44;10
Three Lap;Yes;abney317;NTSC;2017-09-06;50.49S;50,49;8
Three Lap;Yes;abney317;NTSC;2017-09-14;50.09S;50,09;7
Three Lap;Yes;abney317;NTSC;2017-09-21;48.85S;48,85;18
Three Lap;Yes;abney317;NTSC;2017-10-09;40.81S;40,81;4
Three Lap;Yes;abney317;NTSC;2017-10-13;39.98S;39,98;13
Three Lap;Yes;abney317;NTSC;2017-10-26;39.32S;39,32;3
Three Lap;Yes;abney317;NTSC;2017-10-29;19.7S;19,70;854
Three Lap;Yes;abney317;PAL;2020-03-01;17.55S;17,55;189
