type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;2M 36.44S;156,44;78
Three Lap;No;Launspach;NTSC;1997-05-27;2M 26.14S;146,14;84
Three Lap;No;JWhalls;NTSC;1997-08-19;2M 23.8S;143,80;143
Three Lap;No;Zwartjes;PAL;1998-01-09;2M 22.53S;142,53;3
Three Lap;No;Michael L;PAL;1998-01-12;2M 21.66S;141,66;2
Three Lap;No;Zwartjes;PAL;1998-01-14;2M 21.54S;141,54;200
Three Lap;No;Peter E;PAL;1998-08-02;2M 21.38S;141,38;42
Three Lap;No;Penev;PAL;1998-09-13;2M 21.23S;141,23;13
Three Lap;No;Penev;PAL;1998-09-26;2M 21.05S;141,05;1
Three Lap;No;Penev;PAL;1998-09-27;2M 20.88S;140,88;5
Three Lap;No;Michael L;PAL;1998-10-02;2M 20.5S;140,50;47
Three Lap;No;Michael L;PAL;1998-11-18;2M 20.16S;140,16;72
Three Lap;No;Penev;PAL;1999-01-29;2M 19.61S;139,61;50
Three Lap;No;Penev;PAL;1999-03-20;2M 19.21S;139,21;61
Three Lap;No;Peter E;NTSC;1999-03-26;2M 19.21S;139,21;55
Three Lap;No;Penev;PAL;1999-05-20;2M 19.17S;139,17;14
Three Lap;No;Penev;PAL;1999-06-03;2M 18.94S;138,94;0
Three Lap;No;Penev;PAL;1999-06-03;2M 18.8S;138,80;0
Three Lap;No;Penev;PAL;1999-06-03;2M 18.71S;138,71;0
Three Lap;No;Penev;PAL;1999-06-03;2M 18.63S;138,63;39
Three Lap;No;Penev;PAL;1999-07-12;2M 17.76S;137,76;104
Three Lap;No;Zwartjes;PAL;1999-10-24;2M 17.67S;137,67;385
Three Lap;No;Mike S;NTSC;2000-11-12;2M 17.63S;137,63;282
Three Lap;No;Lacey;PAL;2001-08-21;2M 16.78S;136,78;258
Three Lap;No;Lacey;PAL;2002-05-06;2M 16.62S;136,62;313
Three Lap;No;Lacey;PAL;2003-03-15;2M 16.29S;136,29;26
Three Lap;No;Sami;PAL;2003-04-10;2M 16.19S;136,19;4
Three Lap;No;Lacey;PAL;2003-04-14;2M 16.05S;136,05;71
