type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;2M 11.43S;131,43;78
Three Lap;No;Jason E;NTSC;1997-05-27;2M 8.18S;128,18;95
Three Lap;No;Booth;NTSC;1997-08-30;2M 6.56S;126,56;12
Three Lap;No;David B;NTSC;1997-09-11;2M 6.53S;126,53;94
Three Lap;No;Peter E;PAL;1997-12-14;2M 5.75S;125,75;85
Three Lap;No;Peter E;PAL;1998-03-09;2M 4.82S;124,82;179
Three Lap;No;Penev;PAL;1998-09-04;2M 4.52S;124,52;2
Three Lap;No;Penev;PAL;1998-09-06;2M 4.47S;124,47;5
Three Lap;No;Penev;PAL;1998-09-11;2M 3.89S;123,89;11
Three Lap;No;Penev;PAL;1998-09-22;2M 3.76S;123,76;6
Three Lap;No;Peter E;PAL;1998-10-02;2M 3.73S;123,73;0
Three Lap;No;Penev;PAL;1998-09-28;2M 3.56S;123,56;113
Three Lap;No;Penev;PAL;1999-01-19;2M 2.51S;122,51;15
Three Lap;No;Peter E;NTSC;1999-02-03;2M 2.26S;122,26;11
Three Lap;No;Penev;PAL;1999-02-14;2M 2.07S;122,07;64
Three Lap;No;Peter E;PAL;1999-04-19;2M 2.05S;122,05;2
Three Lap;No;Peter E;NTSC;1999-04-21;2M 2S;122,00;245
Three Lap;No;Peter E;NTSC;1999-12-22;2M 1.8S;121,80;922
Three Lap;No;Lacey;PAL;2002-07-01;2M 1.64S;121,64;291
Three Lap;No;Lacey;PAL;2003-04-18;2M 1.42S;121,42;76
Three Lap;No;MJ;PAL;2003-07-03;2M 1.4S;121,40;0
Three Lap;No;Sami;PAL;2003-07-03;2M 1.31S;121,31;7
Three Lap;No;MJ;PAL;2003-07-10;2M 1.23S;121,23;812
Three Lap;No;Eddie T;NTSC;2005-09-29;2M 1.19S;121,19;108
Three Lap;No;MJ;PAL;2006-01-15;2M 1.02S;121,02;789
Three Lap;No;MJ;PAL;2008-03-14;2M 0.98S;120,98;1349
Three Lap;No;MR;PAL;2011-11-23;2M 0.97S;120,97;4
Three Lap;No;MR;PAL;2011-11-27;2M 0.82S;120,82;19
Three Lap;No;MJ;PAL;2011-12-16;2M 0.78S;120,78;418
Three Lap;No;MR;PAL;2013-02-06;2M 0.7S;120,70;474
Three Lap;No;MR;NTSC;2014-05-26;2M 0.59S;120,59;165
Three Lap;No;Dan;PAL;2014-11-07;2M 0.55S;120,55;0
Three Lap;No;MR;PAL;2014-11-07;2M 0.49S;120,49;95
Three Lap;No;Dan;PAL;2015-02-10;2M 0.46S;120,46;7
Three Lap;No;MR;PAL;2015-02-17;2M 0.45S;120,45;88
Three Lap;No;Dan;PAL;2015-05-16;2M 0.44S;120,44;12
Three Lap;No;MR;PAL;2015-05-28;2M 0.39S;120,39;64
Three Lap;No;MR;PAL;2015-07-31;2M 0.34S;120,34;118
Three Lap;No;Dan;PAL;2015-11-26;2M 0.33S;120,33;4
Three Lap;No;MR;PAL;2015-11-30;2M 0.28S;120,28;114
Three Lap;No;MR;PAL;2016-03-23;2M 0.24S;120,24;13
Three Lap;No;MR;PAL;2016-04-05;2M 0.21S;120,21;4
Three Lap;No;MR;PAL;2016-04-09;2M 0.17S;120,17;11
Three Lap;No;MR;PAL;2016-04-20;2M 0.16S;120,16;84
Three Lap;No;MR;PAL;2016-07-13;2M 0.06S;120,06;523
Three Lap;No;MR;PAL;2017-12-18;2M 0.04S;120,04;0
Three Lap;No;MR;PAL;2017-12-18;2M 0.01S;120,01;3
