type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;2M 14.22S;134,22;31
Three Lap;No;Booth;NTSC;1997-04-10;2M 13.94S;133,94;47
Three Lap;No;Launspach;NTSC;1997-05-27;2M 12.67S;132,67;95
Three Lap;No;Booth;NTSC;1997-08-30;2M 9.82S;129,82;9
Three Lap;No;Booth;NTSC;1997-09-08;2M 9.39S;129,39;186
Three Lap;No;Booth;NTSC;1998-03-13;2M 8.57S;128,57;0
Three Lap;No;Booth;NTSC;1998-03-13;2M 8.45S;128,45;160
Three Lap;No;Peter E;PAL;1998-08-20;2M 8.32S;128,32;22
Three Lap;No;Penev;PAL;1998-09-11;2M 8.3S;128,30;2
Three Lap;No;Penev;PAL;1998-09-13;2M 8.22S;128,22;16
Three Lap;No;Penev;PAL;1998-09-29;2M 8.12S;128,12;2
Three Lap;No;Penev;PAL;1998-10-01;2M 7.92S;127,92;1
Three Lap;No;Penev;PAL;1998-10-02;2M 7.9S;127,90;15
Three Lap;No;Penev;PAL;1998-10-17;2M 7.82S;127,82;3
Three Lap;No;Penev;PAL;1998-10-20;2M 7.49S;127,49;84
Three Lap;No;Penev;PAL;1999-01-12;2M 7.09S;127,09;120
Three Lap;No;Booth;NTSC;1999-05-12;2M 7.02S;127,02;45
Three Lap;No;Peter E;NTSC;1999-06-26;2M 6.68S;126,68;172
Three Lap;No;Booth;NTSC;1999-12-15;2M 6.66S;126,66;46
Three Lap;No;Mike S;NTSC;2000-01-30;2M 6.53S;126,53;14
Three Lap;No;Zwartjes;PAL;2000-02-13;2M 6.13S;126,13;862
Three Lap;No;Lacey;PAL;2002-06-24;2M 6.11S;126,11;310
Three Lap;No;MJ;PAL;2003-04-30;2M 6S;126,00;121
Three Lap;No;MJ;PAL;2003-08-29;2M 5.71S;125,71;2
Three Lap;No;MJ;PAL;2003-08-31;2M 5.65S;125,65;283
Three Lap;No;Troy;NTSC;2004-06-09;2M 5.6S;125,60;9
Three Lap;No;MJ;PAL;2004-06-18;2M 5.56S;125,56;1346
Three Lap;No;MJ;PAL;2008-02-24;2M 5.55S;125,55;1
Three Lap;No;MJ;PAL;2008-02-25;2M 5.33S;125,33;1428
Three Lap;No;MR;PAL;2012-01-23;2M 5.28S;125,28;1
Three Lap;No;MJ;PAL;2012-01-24;2M 5.17S;125,17;620
Three Lap;No;VAJ;PAL;2012-08-14;2M 5.17S;125,17;417
Three Lap;No;MR;PAL;2013-10-05;2M 5.13S;125,13;10
Three Lap;No;MJ;PAL;2013-10-15;2M 5.09S;125,09;9
