type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Launspach;NTSC;1997-05-27;1M 42.01S;102,01;95
Three Lap;No;Launspach;NTSC;1997-08-30;1M 40.44S;100,44;2
Three Lap;No;Booth;NTSC;1997-09-01;1M 40.12S;100,12;193
Three Lap;No;Jonathan;NTSC;1998-03-13;1M 38.85S;98,85;182
Three Lap;No;Penev;PAL;1998-09-11;1M 38.63S;98,63;17
Three Lap;No;Penev;PAL;1998-09-28;1M 38.5S;98,50;1
Three Lap;No;Booth;NTSC;1998-09-29;1M 38.48S;98,48;3
Three Lap;No;Peter E;PAL;1998-10-02;1M 38.27S;98,27;93
Three Lap;No;Booth;NTSC;1999-01-03;1M 38.18S;98,18;31
Three Lap;No;Peter E;NTSC;1999-02-03;1M 37.92S;97,92;51
Three Lap;No;Peter E;NTSC;1999-03-26;1M 37.8S;97,80;73
Three Lap;No;Peter E;NTSC;1999-06-07;1M 37.62S;97,62;68
Three Lap;No;Penev;PAL;1999-08-14;1M 37.54S;97,54;46
Three Lap;No;Penev;PAL;1999-09-29;1M 37.53S;97,53;1
Three Lap;No;Penev;PAL;1999-09-30;1M 37.52S;97,52;0
Three Lap;No;Penev;PAL;1999-09-30;1M 37.49S;97,49;2
Three Lap;No;Penev;PAL;1999-10-02;1M 37.35S;97,35;1
Three Lap;No;Penev;PAL;1999-10-03;1M 37.32S;97,32;0
Three Lap;No;Penev;PAL;1999-10-03;1M 37.2S;97,20;0
Three Lap;No;Penev;PAL;1999-10-03;1M 37.06S;97,06;6
Three Lap;No;Penev;PAL;1999-10-09;1M 36.85S;96,85;133
Three Lap;No;Mike S;NTSC;2000-02-19;1M 36.84S;96,84;23
Three Lap;No;Mike S;NTSC;2000-03-13;1M 36.56S;96,56;209
Three Lap;No;Matt B;NTSC;2000-10-08;1M 36.14S;96,14;1121
Three Lap;No;MJ;PAL;2003-11-03;1M 36.13S;96,13;11
Three Lap;No;Troy;NTSC;2003-11-14;1M 36.11S;96,11;4
Three Lap;No;Troy;NTSC;2003-11-18;1M 36.05S;96,05;293
Three Lap;No;MJ;PAL;2004-09-06;1M 35.97S;95,97;124
Three Lap;No;Troy;NTSC;2005-01-08;1M 35.94S;95,94;31
Three Lap;No;MJ;PAL;2005-02-08;1M 35.91S;95,91;2224
