type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Salam;NTSC;1997-02-15;2M 12.99S;132,99;1
Three Lap;No;Booth;NTSC;1997-02-16;2M 9.99S;129,99;0
Three Lap;No;Salam;NTSC;1997-02-16;2M 8.99S;128,99;12
Three Lap;No;Salam;NTSC;1997-02-28;2M 6.99S;126,99;7
Three Lap;No;Gregg G;NTSC;1997-03-07;2M 4.51S;124,51;54
Three Lap;No;Rocky G;NTSC;1997-04-30;2M 2.89S;122,89;0
Three Lap;No;Launspach;NTSC;1997-04-30;2M 2.87S;122,87;0
Three Lap;No;Launspach;NTSC;1997-04-30;2M 2.78S;122,78;27
Three Lap;No;Launspach;NTSC;1997-05-27;2M 2.25S;122,25;0
Three Lap;No;Launspach;NTSC;1997-05-27;2M 2.21S;122,21;64
Three Lap;No;Patrick Q;NTSC;1997-07-30;2M 1.32S;121,32;3
Three Lap;No;Launspach;NTSC;1997-08-02;2M 0.81S;120,81;0
Three Lap;No;Launspach;NTSC;1997-08-02;2M 0.76S;120,76;90
Three Lap;No;Launspach;NTSC;1997-10-31;2M 0.1S;120,10;132
Three Lap;No;Booth;NTSC;1998-03-12;2M 0.04S;120,04;1
Three Lap;No;Booth;NTSC;1998-03-13;2M 0.01S;120,01;74
Three Lap;No;Booth;NTSC;1998-05-26;1M 59.96S;119,96;80
Three Lap;No;Booth;NTSC;1998-08-14;1M 59.86S;119,86;48
Three Lap;No;Penev;PAL;1998-09-28;1M 59.85S;119,85;3
Three Lap;No;Penev;PAL;1998-10-01;1M 59.82S;119,82;1
Three Lap;No;Peter E;PAL;1998-10-02;1M 59.76S;119,76;22
Three Lap;No;Penev;PAL;1998-10-24;1M 59.64S;119,64;27
Three Lap;No;Booth;NTSC;1998-11-20;1M 59.63S;119,63;34
Three Lap;No;Penev;PAL;1998-12-24;1M 59.54S;119,54;4
Three Lap;No;Booth;NTSC;1999-01-03;1M 59.49S;119,49;0
Three Lap;No;Penev;PAL;1998-12-28;1M 59.48S;119,48;3
Three Lap;No;Penev;PAL;1998-12-31;1M 59.39S;119,39;137
Three Lap;No;Penev;PAL;1999-05-17;1M 59.33S;119,33;113
Three Lap;No;Zwartjes;PAL;1999-09-07;1M 59.3S;119,30;20
Three Lap;No;Penev;PAL;1999-09-27;1M 59.26S;119,26;29
Three Lap;No;Zwartjes;PAL;1999-10-26;1M 59.16S;119,16;4
Three Lap;No;Zwartjes;PAL;1999-10-30;1M 58.65S;118,65;872
Three Lap;No;Lacey;PAL;2002-03-20;1M 58.64S;118,64;404
Three Lap;No;MJ;PAL;2003-04-28;1M 58.62S;118,62;29
Three Lap;No;Zwartjes;PAL;2003-05-27;1M 58.14S;118,14;775
Three Lap;No;MJ;PAL;2005-07-10;1M 58.12S;118,12;2349
Three Lap;No;MR;PAL;2011-12-15;1M 58.07S;118,07;11
Three Lap;No;MJ;PAL;2011-12-26;1M 58.06S;118,06;426
Three Lap;No;MR;PAL;2013-02-24;1M 58.04S;118,04;365
Three Lap;No;MR;PAL;2014-02-24;1M 58.02S;118,02;246
Three Lap;No;MR;PAL;2014-10-28;1M 58S;118,00;7
Three Lap;No;MR;PAL;2014-11-04;1M 57.99S;117,99;981
Three Lap;No;Dan;PAL;2017-07-07;1M 57.99S;117,99;5
Three Lap;No;MR;PAL;2017-07-12;1M 57.98S;117,98;872
