type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;1M 35.06S;95,06;78
Three Lap;No;Launspach;NTSC;1997-05-27;1M 32.98S;92,98;92
Three Lap;No;Jonathan;NTSC;1997-08-27;1M 31.74S;91,74;76
Three Lap;No;Zwartjes;PAL;1997-11-11;1M 31.41S;91,41;8
Three Lap;No;Zwartjes;PAL;1997-11-19;1M 31.19S;91,19;47
Three Lap;No;Zwartjes;PAL;1998-01-05;1M 30.9S;90,90;32
Three Lap;No;Zwartjes;PAL;1998-02-06;1M 30.68S;90,68;30
Three Lap;No;Peter E;PAL;1998-03-08;1M 30.62S;90,62;130
Three Lap;No;Lachlan B;PAL;1998-07-16;1M 30.39S;90,39;78
Three Lap;No;Peter E;PAL;1998-10-02;1M 30.26S;90,26;55
Three Lap;No;Penev;PAL;1998-11-26;1M 29.96S;89,96;19
Three Lap;No;Penev;PAL;1998-12-15;1M 29.92S;89,92;77
Three Lap;No;Penev;PAL;1999-03-02;1M 29.5S;89,50;193
Three Lap;No;Zwartjes;PAL;1999-09-11;1M 29.31S;89,31;171
Three Lap;No;Zwartjes;PAL;2000-02-29;1M 29.22S;89,22;246
Three Lap;No;Sami;PAL;2000-11-01;1M 29.09S;89,09;343
Three Lap;No;Lacey;PAL;2001-10-10;1M 29.01S;89,01;131
Three Lap;No;Lacey;PAL;2002-02-18;1M 28.98S;88,98;8
Three Lap;No;Lacey;PAL;2002-02-26;1M 28.95S;88,95;180
Three Lap;No;Lacey;PAL;2002-08-25;1M 28.87S;88,87;226
Three Lap;No;Lacey;PAL;2003-04-08;1M 28.81S;88,81;16
Three Lap;No;MJ;PAL;2003-04-24;1M 28.73S;88,73;69
Three Lap;No;Sami;PAL;2003-07-02;1M 28.57S;88,57;5
Three Lap;No;MJ;PAL;2003-07-07;1M 28.44S;88,44;396
Three Lap;No;Luke B;NTSC;2004-08-06;1M 28.36S;88,36;31
Three Lap;No;MJ;PAL;2004-09-06;1M 28.34S;88,34;364
Three Lap;No;Lacey;PAL;2005-09-05;1M 28.31S;88,31;139
Three Lap;No;MJ;PAL;2006-01-22;1M 28.22S;88,22;442
Three Lap;No;MJ;PAL;2007-04-09;1M 28.11S;88,11;66
Three Lap;No;Lucas O;PAL;2007-06-14;1M 28.1S;88,10;55
Three Lap;No;Lucas O;PAL;2007-08-08;1M 28.05S;88,05;18
Three Lap;No;Lucas O;PAL;2007-08-26;1M 28.02S;88,02;1451
Three Lap;No;MJ;PAL;2011-08-16;1M 27.97S;87,97;881
Three Lap;No;MR;PAL;2013-11-17;1M 27.97S;87,97;57
Three Lap;No;MR;PAL;2014-01-13;1M 27.96S;87,96;614
Three Lap;No;Dan;PAL;2015-04-19;1M 27.96S;87,96;153
Three Lap;No;MR;PAL;2015-09-19;1M 27.89S;87,89;313
Three Lap;No;Dan;PAL;2016-04-03;1M 27.89S;87,89;116
Three Lap;No;Dan;PAL;2016-07-28;1M 27.86S;87,86;70
Three Lap;No;MR;PAL;2016-10-06;1M 27.85S;87,85;10
Three Lap;No;Dan;PAL;2016-10-16;1M 27.81S;87,81;26
Three Lap;No;MR;PAL;2016-10-26;1M 27.81S;87,81;16
Three Lap;No;Dan;PAL;2016-11-11;1M 27.74S;87,74;440
Three Lap;No;MR;PAL;2018-01-25;1M 27.72S;87,72;0
Three Lap;No;Dan;PAL;2018-01-25;1M 27.69S;87,69;1
Three Lap;No;Dan;PAL;2018-01-26;1M 27.65S;87,65;40
Three Lap;No;MR;PAL;2018-03-07;1M 27.64S;87,64;827
Three Lap;No;Dan;PAL;2019-02-10;1M 27.64S;87,64;487
Three Lap;No;Dan;PAL;2020-06-11;1M 27.63S;87,63;44
Three Lap;No;Dan;PAL;2020-07-25;1M 27.58S;87,58;2
Three Lap;No;Dan;PAL;2020-07-27;1M 27.55S;87,55;17
Three Lap;No;Dan;PAL;2020-08-13;1M 27.51S;87,51;197
Single Lap;No;Gregg G;NTSC;1997-03-10;30.02S;30,02;78
Single Lap;No;Launspach;NTSC;1997-05-27;29.23S;29,23;95
Single Lap;No;Launspach;NTSC;1997-08-30;28.86S;28,86;195
Single Lap;No;Jonathan;NTSC;1998-03-13;28.63S;28,63;118
Single Lap;No;Booth;NTSC;1998-07-09;28.61S;28,61;55
Single Lap;No;Penev;PAL;1998-09-02;28.31S;28,31;20
Single Lap;No;Penev;PAL;1998-09-22;28.25S;28,25;25
Single Lap;No;Penev;PAL;1998-10-17;28.2S;28,20;3
Single Lap;No;Penev;PAL;1998-10-20;28.19S;28,19;37
Single Lap;No;Penev;PAL;1998-11-26;27.97S;27,97;200
Single Lap;No;Penev;PAL;1999-06-14;27.94S;27,94;260
Single Lap;No;Zwartjes;PAL;2000-02-29;27.91S;27,91;1131
Single Lap;No;Lacey;PAL;2003-04-05;27.88S;27,88;20
Single Lap;No;Lacey;PAL;2003-04-25;27.85S;27,85;6
Single Lap;No;Lacey;PAL;2003-05-01;27.82S;27,82;63
Single Lap;No;MJ;PAL;2003-07-03;27.81S;27,81;394
Single Lap;No;Luke B;NTSC;2004-07-31;27.79S;27,79;564
Single Lap;No;Greg L;PAL;2005-10-09;27.79S;27,79;129
Single Lap;No;MJ;PAL;2006-01-26;27.79S;27,79;20
Single Lap;No;Luke B;NTSC;2006-02-15;27.78S;27,78;460
Single Lap;No;Lucas O;PAL;2007-04-04;27.78S;27,78;47
Single Lap;No;Luke B;NTSC;2007-05-21;27.75S;27,75;7
Single Lap;No;Lucas O;PAL;2007-05-28;27.74S;27,74;289
Single Lap;No;Luke B;NTSC;2008-03-12;27.72S;27,72;2501
Single Lap;No;MR;PAL;2013-11-11;27.72S;27,72;426
Single Lap;No;Dan;PAL;2015-01-11;27.71S;27,71;5
Single Lap;No;MR;PAL;2015-01-16;27.71S;27,71;0
Single Lap;No;MR;PAL;2015-01-16;27.7S;27,70;61
Single Lap;No;Dan;PAL;2015-03-18;27.68S;27,68;500
Single Lap;No;MR;PAL;2015-11-20;27.68S;27,68;253
Single Lap;No;Dan;PAL;2016-07-30;27.67S;27,67;98
Single Lap;No;MR;PAL;2016-10-23;27.67S;27,67;13
Single Lap;No;Dan;PAL;2016-11-05;27.66S;27,66;430
Single Lap;No;Dan;PAL;2018-01-09;27.64S;27,64;218
Single Lap;No;MR;PAL;2018-03-09;27.64S;27,64;159
Single Lap;No;Dan;PAL;2018-08-15;27.63S;27,63;895
Single Lap;No;MR;PAL;2018-11-22;27.63S;27,63;796
Single Lap;No;Dan;PAL;2021-01-26;27.62S;27,62;31
Single Lap;No;MR;PAL;2021-02-20;27.62S;27,62;6
Three Lap;Yes;Michael P;NTSC;1997-05-15;1M 7.92S;67,92;107
Three Lap;Yes;Jonathan;NTSC;1997-08-30;1M 4.89S;64,89;106
Three Lap;Yes;Zwartjes;PAL;1997-12-14;1M 3.86S;63,86;308
Three Lap;Yes;Jonathan;NTSC;1998-10-18;1M 3.81S;63,81;33
Three Lap;Yes;Mike S;NTSC;1998-11-20;1M 3.7S;63,70;24
Three Lap;Yes;Penev;PAL;1998-12-14;1M 3.42S;63,42;10
Three Lap;Yes;Jonathan;NTSC;1998-12-24;1M 3.39S;63,39;92
Three Lap;Yes;LPS;NTSC;1999-03-26;1M 2.93S;62,93;91
Three Lap;Yes;Mike S;NTSC;1999-06-25;1M 2.8S;62,80;2
Three Lap;Yes;Mike S;NTSC;1999-06-27;1M 2.74S;62,74;12
Three Lap;Yes;Mike S;NTSC;1999-07-09;1M 2.49S;62,49;18
Three Lap;Yes;Mike S;NTSC;1999-07-27;1M 2S;62,00;1478
Three Lap;Yes;LPS;NTSC;2003-08-12;1M 2S;62,00;1
Three Lap;Yes;LPS;NTSC;2003-08-13;1M 1.97S;61,97;119
Three Lap;Yes;Steven G;NTSC;2003-12-10;1M 1.96S;61,96;4
Three Lap;Yes;Steven G;NTSC;2003-12-14;1M 1.89S;61,89;3
Three Lap;Yes;Steven G;NTSC;2003-12-17;1M 1.79S;61,79;0
Three Lap;Yes;Steven G;NTSC;2003-12-17;1M 1.71S;61,71;620
Three Lap;Yes;Karlo;NTSC;2005-08-28;1M 1.64S;61,64;377
Three Lap;Yes;VAJ;PAL;2006-09-09;1M 1.5S;61,50;1028
Three Lap;Yes;Maurice;PAL;2009-07-03;1M 1.49S;61,49;5
Three Lap;Yes;VAJ;PAL;2009-07-08;1M 1.43S;61,43;10
Three Lap;Yes;Maurice;PAL;2009-07-18;1M 1.26S;61,26;201
Three Lap;Yes;VAJ;PAL;2010-02-04;1M 1.13S;61,13;943
Three Lap;Yes;Greg I;PAL;2012-09-04;1M 1.12S;61,12;3
Three Lap;Yes;Greg I;PAL;2012-09-07;1M 1.02S;61,02;362
Three Lap;Yes;Zoran;PAL;2013-09-04;1M 0.91S;60,91;330
Three Lap;Yes;Lacey;PAL;2014-07-31;1M 0.81S;60,81;1198
Three Lap;Yes;abney317;PAL;2017-11-10;1M 0.65S;60,65;1203
Three Lap;Yes;abney317;PAL;2021-02-25;58.49S;58,49;1
Single Lap;Yes;Gregg G;NTSC;1997-03-10;30.02S;30,02;78
Single Lap;Yes;Launspach;NTSC;1997-05-27;29.23S;29,23;95
Single Lap;Yes;Launspach;NTSC;1997-08-30;28.86S;28,86;195
Single Lap;Yes;Jonathan;NTSC;1998-03-13;28.63S;28,63;118
Single Lap;Yes;Booth;NTSC;1998-07-09;28.61S;28,61;55
Single Lap;Yes;Penev;PAL;1998-09-02;28.31S;28,31;20
Single Lap;Yes;Penev;PAL;1998-09-22;28.25S;28,25;25
Single Lap;Yes;Penev;PAL;1998-10-17;28.2S;28,20;3
Single Lap;Yes;Penev;PAL;1998-10-20;28.19S;28,19;37
Single Lap;Yes;Penev;PAL;1998-11-26;27.97S;27,97;200
Single Lap;Yes;Penev;PAL;1999-06-14;27.94S;27,94;260
Single Lap;Yes;Zwartjes;PAL;2000-02-29;27.91S;27,91;1131
Single Lap;Yes;Lacey;PAL;2003-04-05;27.88S;27,88;20
Single Lap;Yes;Lacey;PAL;2003-04-25;27.85S;27,85;6
Single Lap;Yes;Lacey;PAL;2003-05-01;27.82S;27,82;63
Single Lap;Yes;MJ;PAL;2003-07-03;27.81S;27,81;394
Single Lap;Yes;Luke B;NTSC;2004-07-31;27.79S;27,79;564
Single Lap;Yes;Greg L;PAL;2005-10-09;27.79S;27,79;129
Single Lap;Yes;MJ;PAL;2006-01-26;27.79S;27,79;20
Single Lap;Yes;Luke B;NTSC;2006-02-15;27.78S;27,78;460
Single Lap;Yes;Lucas O;PAL;2007-04-04;27.78S;27,78;47
Single Lap;Yes;Luke B;NTSC;2007-05-21;27.75S;27,75;7
Single Lap;Yes;Lucas O;PAL;2007-05-28;27.74S;27,74;289
Single Lap;Yes;Luke B;NTSC;2008-03-12;27.72S;27,72;2501
Single Lap;Yes;MR;PAL;2013-11-11;27.72S;27,72;426
Single Lap;Yes;Dan;PAL;2015-01-11;27.71S;27,71;5
Single Lap;Yes;MR;PAL;2015-01-16;27.71S;27,71;0
Single Lap;Yes;MR;PAL;2015-01-16;27.7S;27,70;61
Single Lap;Yes;Dan;PAL;2015-03-18;27.68S;27,68;500
Single Lap;Yes;MR;PAL;2015-11-20;27.68S;27,68;253
Single Lap;Yes;Dan;PAL;2016-07-30;27.67S;27,67;98
Single Lap;Yes;MR;PAL;2016-10-23;27.67S;27,67;13
Single Lap;Yes;Dan;PAL;2016-11-05;27.66S;27,66;430
Single Lap;Yes;Dan;PAL;2018-01-09;27.64S;27,64;218
Single Lap;Yes;MR;PAL;2018-03-09;27.64S;27,64;159
Single Lap;Yes;Dan;PAL;2018-08-15;27.63S;27,63;895
Single Lap;Yes;MR;PAL;2018-11-22;27.63S;27,63;796
Single Lap;Yes;Dan;PAL;2021-01-26;27.62S;27,62;31
Single Lap;Yes;MR;PAL;2021-02-20;27.62S;27,62;6
