type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-07;1M 35.48S;95,48;81
Three Lap;No;Launspach;NTSC;1997-05-27;1M 32.96S;92,96;67
Three Lap;No;Jonathan;NTSC;1997-08-02;1M 31.74S;91,74;28
Three Lap;No;JWhalls;NTSC;1997-08-30;1M 31.73S;91,73;9
Three Lap;No;Booth;NTSC;1997-09-08;1M 31.57S;91,57;128
Three Lap;No;Zwartjes;PAL;1998-01-14;1M 31.16S;91,16;176
Three Lap;No;Booth;NTSC;1998-07-09;1M 30.96S;90,96;64
Three Lap;No;Penev;PAL;1998-09-11;1M 30.94S;90,94;3
Three Lap;No;Booth;NTSC;1998-09-14;1M 30.2S;90,20;12
Three Lap;No;Penev;PAL;1998-09-26;1M 30.14S;90,14;89
Three Lap;No;Jonathan;NTSC;1998-12-24;1M 29.71S;89,71;76
Three Lap;No;Jonathan;NTSC;1999-03-10;1M 29.33S;89,33;160
Three Lap;No;Jonathan;NTSC;1999-08-17;1M 28.81S;88,81;34
Three Lap;No;Zwartjes;PAL;1999-09-20;1M 28.71S;88,71;225
Three Lap;No;Matt B;NTSC;2000-05-02;1M 28.7S;88,70;55
Three Lap;No;Zwartjes;PAL;2000-06-26;1M 28.61S;88,61;56
Three Lap;No;Zwartjes;PAL;2000-08-21;1M 28.54S;88,54;45
Three Lap;No;Ben M;PAL;2000-10-05;1M 28.44S;88,44;12
Three Lap;No;Mike S;NTSC;2000-10-17;1M 28.32S;88,32;556
Three Lap;No;Ben M;PAL;2002-04-26;1M 28.25S;88,25;4
Three Lap;No;Ben M;PAL;2002-04-30;1M 28.11S;88,11;332
Three Lap;No;Ben M;PAL;2003-03-28;1M 28.05S;88,05;0
Three Lap;No;Ben M;PAL;2003-03-28;1M 27.93S;87,93;6
Three Lap;No;Ben M;PAL;2003-04-03;1M 27.81S;87,81;25
Three Lap;No;Ben M;PAL;2003-04-28;1M 27.66S;87,66;500
Three Lap;No;Habrich;NTSC;2004-09-09;1M 27.63S;87,63;186
Three Lap;No;MJ;PAL;2005-03-14;1M 27.52S;87,52;0
Three Lap;No;MJ;PAL;2005-03-14;1M 27.35S;87,35;485
Three Lap;No;Karlo;NTSC;2006-07-12;1M 27.2S;87,20;238
Three Lap;No;MJ;PAL;2007-03-07;1M 27.06S;87,06;1174
Three Lap;No;TJL;PAL;2010-05-24;1M 27.01S;87,01;1
Three Lap;No;TJL;PAL;2010-05-25;1M 26.94S;86,94;9
Three Lap;No;TJL;PAL;2010-06-03;1M 26.91S;86,91;2
Three Lap;No;TJL;PAL;2010-06-05;1M 26.7S;86,70;62
Three Lap;No;TJL;PAL;2010-08-06;1M 26.55S;86,55;87
Three Lap;No;TJL;PAL;2010-11-01;1M 26.44S;86,44;782
Three Lap;No;TJL;PAL;2012-12-22;1M 26.38S;86,38;362
Three Lap;No;MR;PAL;2013-12-19;1M 26.36S;86,36;639
Three Lap;No;TJL;PAL;2015-09-19;1M 26.19S;86,19;23
Three Lap;No;MR;PAL;2015-10-12;1M 26.14S;86,14;1154
Three Lap;No;abney317;PAL;2018-12-09;1M 26S;86,00;130
Three Lap;No;MR;PAL;2019-04-18;1M 25.97S;85,97;39
Three Lap;No;abney317;PAL;2019-05-27;1M 25.94S;85,94;267
Three Lap;No;MR;PAL;2020-02-18;1M 25.93S;85,93;374
Single Lap;No;Gregg G;NTSC;1997-03-10;30.29S;30,29;78
Single Lap;No;Launspach;NTSC;1997-05-27;29.89S;29,89;95
Single Lap;No;JWhalls;NTSC;1997-08-30;29.74S;29,74;7
Single Lap;No;Booth;NTSC;1997-09-06;29.64S;29,64;188
Single Lap;No;Jonathan;NTSC;1998-03-13;29.43S;29,43;118
Single Lap;No;Booth;NTSC;1998-07-09;29.29S;29,29;37
Single Lap;No;Booth;NTSC;1998-08-15;29.05S;29,05;131
Single Lap;No;Jonathan;NTSC;1998-12-24;28.93S;28,93;76
Single Lap;No;Booth;NTSC;1999-02-03;28.93S;28,93;35
Single Lap;No;Jonathan;NTSC;1999-03-10;28.91S;28,91;215
Single Lap;No;Booth;NTSC;1999-05-19;28.91S;28,91;145
Single Lap;No;Booth;NTSC;1999-10-11;28.82S;28,82;1
Single Lap;No;Mike S;NTSC;1999-10-12;28.68S;28,68;24
Single Lap;No;Ben M;PAL;1999-11-05;28.65S;28,65;114
Single Lap;No;Zwartjes;PAL;2000-02-15;28.65S;28,65;12
Single Lap;No;Ben M;PAL;2000-02-27;28.6S;28,60;37
Single Lap;No;Mike S;NTSC;2000-04-04;28.58S;28,58;94
Single Lap;No;Zwartjes;PAL;2000-07-07;28.49S;28,49;91
Single Lap;No;Ben M;PAL;2000-07-27;28.49S;28,49;71
Single Lap;No;Myles;NTSC;2000-10-06;28.33S;28,33;615
Single Lap;No;Ben M;PAL;2002-06-13;28.29S;28,29;280
Single Lap;No;Marcelo;NTSC;2003-03-20;28.26S;28,26;13
Single Lap;No;Ben M;PAL;2003-04-02;28.25S;28,25;443
Single Lap;No;Habrich;NTSC;2004-06-18;28.14S;28,14;988
Single Lap;No;Karlo;NTSC;2006-01-20;28.14S;28,14;407
Single Lap;No;VAJ;PAL;2007-03-02;28.14S;28,14;1
Single Lap;No;Karlo;NTSC;2007-03-03;27.99S;27,99;1226
Single Lap;No;TJL;PAL;2010-07-11;27.98S;27,98;4
Single Lap;No;TJL;PAL;2010-07-15;27.96S;27,96;339
Single Lap;No;TJL;PAL;2011-06-19;27.94S;27,94;164
Single Lap;No;TJL;PAL;2011-11-30;27.93S;27,93;231
Single Lap;No;VAJ;PAL;2011-12-03;27.93S;27,93;228
Single Lap;No;TJL;PAL;2012-07-18;27.91S;27,91;252
Single Lap;No;VAJ;PAL;2013-03-26;27.91S;27,91;1
Single Lap;No;TJL;PAL;2013-03-27;27.82S;27,82;2103
Single Lap;No;MR;PAL;2017-11-27;27.82S;27,82;397
Single Lap;No;abney317;PAL;2018-12-29;27.8S;27,80;790
