type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Booth;NTSC;1997-05-27;6M 15.83S;375,83;92
Three Lap;No;Jonathan;NTSC;1997-08-27;6M 9.67S;369,67;140
Three Lap;No;Zwartjes;PAL;1998-01-14;6M 8.69S;368,69;58
Three Lap;No;Jonathan;NTSC;1998-03-13;6M 5.51S;365,51;173
Three Lap;No;Penev;PAL;1998-09-02;6M 4.15S;364,15;9
Three Lap;No;Penev;PAL;1998-09-11;6M 3.86S;363,86;2
Three Lap;No;Penev;PAL;1998-09-13;6M 2.15S;362,15;9
Three Lap;No;Penev;PAL;1998-09-22;6M 1.97S;361,97;8
Three Lap;No;Penev;PAL;1998-09-30;6M 1.79S;361,79;9
Three Lap;No;Penev;PAL;1998-10-09;6M 1.66S;361,66;1
Three Lap;No;Penev;PAL;1998-10-10;6M 1.6S;361,60;14
Three Lap;No;Penev;PAL;1998-10-24;6M 1.27S;361,27;113
Three Lap;No;Penev;PAL;1999-02-14;6M 0.38S;360,38;65
Three Lap;No;Penev;PAL;1999-04-20;6M 0.09S;360,09;8
Three Lap;No;Sami;PAL;1999-04-28;5M 59.81S;359,81;35
Three Lap;No;Sami;PAL;1999-06-02;5M 59.63S;359,63;164
Three Lap;No;Zwartjes;PAL;1999-11-13;5M 58.45S;358,45;370
Three Lap;No;Sami;PAL;2000-11-17;5M 57.09S;357,09;863
Three Lap;No;MJ;PAL;2003-03-30;5M 56.57S;356,57;1
Three Lap;No;Sami;PAL;2003-03-31;5M 56.24S;356,24;682
Three Lap;No;MJ;PAL;2005-02-10;5M 55.8S;355,80;353
Three Lap;No;MJ;PAL;2006-01-29;5M 54.79S;354,79;3
Three Lap;No;MJ;PAL;2006-02-01;5M 54.33S;354,33;2214
Three Lap;No;MR;PAL;2012-02-24;5M 54.32S;354,32;29
Three Lap;No;MJ;PAL;2012-03-24;5M 53.99S;353,99;274
Three Lap;No;MR;PAL;2012-12-23;5M 53.83S;353,83;191
Three Lap;No;MR;PAL;2013-07-02;5M 53.8S;353,80;406
Three Lap;No;Zoran;PAL;2014-08-12;5M 53.78S;353,78;3
Three Lap;No;MR;PAL;2014-08-15;5M 53.56S;353,56;470
Three Lap;No;abney317;PAL;2015-11-28;5M 53.39S;353,39;2
Three Lap;No;MR;PAL;2015-11-30;5M 53.25S;353,25;5
Three Lap;No;abney317;PAL;2015-12-05;5M 53.2S;353,20;9
Three Lap;No;MR;PAL;2015-12-14;5M 53.12S;353,12;30
Three Lap;No;abney317;PAL;2016-01-13;5M 53S;353,00;0
Three Lap;No;abney317;PAL;2016-01-13;5M 52.88S;352,88;27
Three Lap;No;MR;PAL;2016-02-09;5M 52.75S;352,75;788
Three Lap;No;abney317;PAL;2018-04-07;5M 52.44S;352,44;6
Three Lap;No;MR;PAL;2018-04-13;5M 52.37S;352,37;357
Three Lap;No;abney317;PAL;2019-04-05;5M 52.25S;352,25;5
Three Lap;No;MR;PAL;2019-04-10;5M 52.22S;352,22;0
Three Lap;No;abney317;PAL;2019-04-10;5M 51.96S;351,96;537
Three Lap;No;Dan;PAL;2020-09-28;5M 51.87S;351,87;151
Single Lap;No;Booth;NTSC;1997-05-27;2M 4.54S;124,54;95
Single Lap;No;Launspach;NTSC;1997-08-30;2M 2.21S;122,21;195
Single Lap;No;Jonathan;NTSC;1998-03-13;2M 1.06S;121,06;149
Single Lap;No;Penev;PAL;1998-08-09;2M 1.03S;121,03;17
Single Lap;No;Penev;PAL;1998-08-26;2M 0.79S;120,79;7
Single Lap;No;Penev;PAL;1998-09-02;2M 0.66S;120,66;4
Single Lap;No;Penev;PAL;1998-09-06;2M 0.57S;120,57;5
Single Lap;No;Penev;PAL;1998-09-11;2M 0.32S;120,32;2
Single Lap;No;Penev;PAL;1998-09-13;1M 59.19S;119,19;160
Single Lap;No;Penev;PAL;1999-02-20;1M 58.87S;118,87;59
Single Lap;No;Penev;PAL;1999-04-20;1M 58.74S;118,74;43
Single Lap;No;Sami;PAL;1999-06-02;1M 58.56S;118,56;153
Single Lap;No;Zwartjes;PAL;1999-11-02;1M 58.26S;118,26;381
Single Lap;No;Sami;PAL;2000-11-17;1M 58.25S;118,25;429
Single Lap;No;Sami;PAL;2002-01-20;1M 57.97S;117,97;42
Single Lap;No;Sami;PAL;2002-03-03;1M 57.89S;117,89;2
Single Lap;No;Sami;PAL;2002-03-05;1M 57.81S;117,81;911
Single Lap;No;Tim E;NTSC;2004-09-01;1M 57.79S;117,79;515
Single Lap;No;MJ;PAL;2005-02-10;1M 57.79S;117,79;353
Single Lap;No;Trystan;PAL;2006-01-29;1M 57.79S;117,79;0
Single Lap;No;MJ;PAL;2006-01-29;1M 57.39S;117,39;2003
Single Lap;No;MR;PAL;2011-07-25;1M 57.38S;117,38;5
Single Lap;No;MJ;PAL;2011-07-30;1M 57.31S;117,31;1
Single Lap;No;MJ;PAL;2011-07-31;1M 57.27S;117,27;509
Single Lap;No;MR;PAL;2012-12-21;1M 57.22S;117,22;0
Single Lap;No;MR;PAL;2012-12-21;1M 57.17S;117,17;2
Single Lap;No;MR;PAL;2012-12-23;1M 57.01S;117,01;373
Single Lap;No;MR;PAL;2013-12-31;1M 56.97S;116,97;223
Single Lap;No;Zoran;PAL;2014-08-11;1M 56.96S;116,96;4
Single Lap;No;MR;PAL;2014-08-15;1M 56.95S;116,95;515
Single Lap;No;abney317;PAL;2016-01-08;1M 56.95S;116,95;4
Single Lap;No;MR;PAL;2016-01-12;1M 56.91S;116,91;0
Single Lap;No;abney317;PAL;2016-01-12;1M 56.84S;116,84;1
Single Lap;No;MR;PAL;2016-01-13;1M 56.65S;116,65;819
Single Lap;No;abney317;PAL;2018-04-11;1M 56.59S;116,59;2
Single Lap;No;MR;PAL;2018-04-13;1M 56.56S;116,56;358
Single Lap;No;abney317;PAL;2019-04-06;1M 56.53S;116,53;4
Single Lap;No;MR;PAL;2019-04-10;1M 56.52S;116,52;428
Single Lap;No;Dan;PAL;2020-06-11;1M 56.48S;116,48;85
Single Lap;No;MR;PAL;2020-09-04;1M 56.35S;116,35;175
Three Lap;Yes;Gregg G;NTSC;1997-03-07;4M 59.81S;299,81;13
Three Lap;Yes;Stephen K;NTSC;1997-03-20;4M 47.02S;287,02;15
Three Lap;Yes;Booth;NTSC;1997-04-04;4M 42.56S;282,56;148
Three Lap;Yes;Jonathan;NTSC;1997-08-30;4M 39.32S;279,32;205
Three Lap;Yes;Joop B;PAL;1998-03-23;4M 37.56S;277,56;183
Three Lap;Yes;Penev;PAL;1998-09-22;4M 36.32S;276,32;26
Three Lap;Yes;JWhalls;NTSC;1998-10-18;4M 35.85S;275,85;59
Three Lap;Yes;Penev;PAL;1998-12-16;4M 35.13S;275,13;7
Three Lap;Yes;Penev;PAL;1998-12-23;4M 34.75S;274,75;59
Three Lap;Yes;JWhalls;NTSC;1999-02-20;4M 33.56S;273,56;57
Three Lap;Yes;Jonathan;NTSC;1999-04-18;4M 33.52S;273,52;103
Three Lap;Yes;Mike S;NTSC;1999-07-30;4M 32.42S;272,42;31
Three Lap;Yes;Jonathan;NTSC;1999-08-30;4M 31.35S;271,35;17
Three Lap;Yes;Penev;PAL;1999-09-16;4M 21.96S;261,96;423
Three Lap;Yes;Penev;PAL;2000-11-12;4M 20.47S;260,47;1367
Three Lap;Yes;Pobre;NTSC;2004-08-10;4M 19.77S;259,77;14
Three Lap;Yes;Steven G;NTSC;2004-08-24;4M 19.66S;259,66;16
Three Lap;Yes;Steven G;NTSC;2004-09-09;4M 12.86S;252,86;81
Three Lap;Yes;Michael F;NTSC;2004-11-29;4M 7.21S;247,21;62
Three Lap;Yes;Michael F;NTSC;2005-01-30;4M 3.8S;243,80;15
Three Lap;Yes;Michael F;NTSC;2005-02-14;4M 0.74S;240,74;15
Three Lap;Yes;Pobre;NTSC;2005-03-01;4M 0.31S;240,31;0
Three Lap;Yes;Pobre;NTSC;2005-03-01;4M 0.28S;240,28;2
Three Lap;Yes;Michael F;NTSC;2005-03-03;4M 0.06S;240,06;351
Three Lap;Yes;Karlo;NTSC;2006-02-17;3M 59.42S;239,42;2
Three Lap;Yes;Karlo;NTSC;2006-02-19;3M 59.07S;239,07;292
Three Lap;Yes;Karlo;NTSC;2006-12-08;3M 58.84S;238,84;2
Three Lap;Yes;Karlo;NTSC;2006-12-10;3M 58.34S;238,34;1
Three Lap;Yes;Karlo;NTSC;2006-12-11;3M 58.33S;238,33;2
Three Lap;Yes;Karlo;NTSC;2006-12-13;3M 57.97S;237,97;1880
Three Lap;Yes;VAJ;PAL;2012-02-05;3M 57.55S;237,55;2
Three Lap;Yes;VAJ;PAL;2012-02-07;3M 57.18S;237,18;30
Three Lap;Yes;VAJ;PAL;2012-03-08;3M 57.03S;237,03;192
Three Lap;Yes;VAJ;PAL;2012-09-16;3M 56.79S;236,79;3
Three Lap;Yes;VAJ;PAL;2012-09-19;3M 56.61S;236,61;687
Three Lap;Yes;VAJ;PAL;2014-08-07;3M 56.52S;236,52;236
Three Lap;Yes;abney317;PAL;2015-03-31;3M 56.36S;236,36;971
Three Lap;Yes;Zoran;PAL;2017-11-26;3M 56.15S;236,15;0
Three Lap;Yes;abney317;PAL;2017-11-26;3M 56.07S;236,07;4
Three Lap;Yes;Zoran;PAL;2017-11-30;3M 56.02S;236,02;0
Three Lap;Yes;abney317;PAL;2017-11-30;3M 55.9S;235,90;2
Three Lap;Yes;abney317;PAL;2017-12-02;3M 55.72S;235,72;12
Three Lap;Yes;abney317;PAL;2017-12-14;3M 55.38S;235,38;326
Three Lap;Yes;MR;PAL;2018-11-05;3M 55.13S;235,13;57
Three Lap;Yes;abney317;PAL;2019-01-01;3M 54.87S;234,87;648
Three Lap;Yes;abney317;NTSC;2020-10-10;3M 30.84S;210,84;0
Three Lap;Yes;abney317;NTSC;2020-10-10;2M 40.94S;160,94;0
Three Lap;Yes;abney317;NTSC;2020-10-10;1M 5.77S;65,77;1
Three Lap;Yes;Zoran;PAL;2020-10-11;1M 0.22S;60,22;0
Three Lap;Yes;abney317;PAL;2020-10-11;59.25S;59,25;0
Three Lap;Yes;Zoran;PAL;2020-10-11;58.01S;58,01;0
