type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;3M 7.19S;187,19;51
Three Lap;No;Booth;NTSC;1997-04-30;3M 6.73S;186,73;27
Three Lap;No;Launspach;NTSC;1997-05-27;3M 1.84S;181,84;95
Three Lap;No;David B;NTSC;1997-08-30;2M 59.22S;179,22;12
Three Lap;No;David B;NTSC;1997-09-11;2M 58.21S;178,21;80
Three Lap;No;David B;NTSC;1997-11-30;2M 57.55S;177,55;14
Three Lap;No;Zwartjes;PAL;1997-12-14;2M 57.39S;177,39;89
Three Lap;No;Jonathan;NTSC;1998-03-13;2M 57.26S;177,26;149
Three Lap;No;Peter E;NTSC;1998-08-09;2M 56.76S;176,76;23
Three Lap;No;Peter E;PAL;1998-09-01;2M 56.68S;176,68;1
Three Lap;No;Penev;PAL;1998-09-02;2M 56.62S;176,62;2
Three Lap;No;Penev;PAL;1998-09-04;2M 56.43S;176,43;2
Three Lap;No;Penev;PAL;1998-09-06;2M 56.42S;176,42;5
Three Lap;No;Penev;PAL;1998-09-11;2M 56.38S;176,38;2
Three Lap;No;Penev;PAL;1998-09-13;2M 56.34S;176,34;9
Three Lap;No;Penev;PAL;1998-09-22;2M 55.63S;175,63;85
Three Lap;No;Penev;PAL;1998-12-16;2M 55.43S;175,43;7
Three Lap;No;Penev;PAL;1998-12-23;2M 55.25S;175,25;37
Three Lap;No;Penev;PAL;1999-01-29;2M 55.13S;175,13;16
Three Lap;No;Penev;PAL;1999-02-14;2M 54.56S;174,56;255
Three Lap;No;Zwartjes;PAL;1999-10-27;2M 53.65S;173,65;132
Three Lap;No;Zwartjes;PAL;2000-03-07;2M 52.98S;172,98;1217
Three Lap;No;Sami;PAL;2003-07-07;2M 52.89S;172,89;14
Three Lap;No;MJ;PAL;2003-07-21;2M 52.83S;172,83;22
Three Lap;No;Troy;NTSC;2003-08-12;2M 52.76S;172,76;33
Three Lap;No;MJ;PAL;2003-09-14;2M 52.57S;172,57;7
Three Lap;No;Troy;NTSC;2003-09-21;2M 52.38S;172,38;348
Three Lap;No;Troy;NTSC;2004-09-03;2M 52.29S;172,29;3022
Three Lap;No;MJ;PAL;2008-03-03;2M 52.29S;172,29;1745
Three Lap;No;MR;PAL;2012-12-11;2M 52.29S;172,29;1
Three Lap;No;MR;PAL;2012-12-12;2M 52.27S;172,27;0
Three Lap;No;MR;PAL;2012-12-12;2M 52.13S;172,13;30
Three Lap;No;MJ;PAL;2012-12-30;2M 52.13S;172,13;12
Three Lap;No;MJ;PAL;2013-01-11;2M 52.09S;172,09;250
Three Lap;No;MR;PAL;2013-09-18;2M 52.08S;172,08;31
Three Lap;No;MJ;PAL;2013-10-19;2M 52.07S;172,07;8
Three Lap;No;MR;PAL;2013-10-27;2M 52.03S;172,03;1
Three Lap;No;MR;PAL;2013-10-28;2M 51.97S;171,97;274
Three Lap;No;MR;PAL;2014-07-29;2M 51.94S;171,94;0
Three Lap;No;MR;PAL;2014-07-29;2M 51.87S;171,87;3
Three Lap;No;MR;PAL;2014-08-01;2M 51.75S;171,75;849
Three Lap;No;Dan;PAL;2016-11-23;2M 51.75S;171,75;4
Three Lap;No;MR;PAL;2016-11-27;2M 51.72S;171,72;0
Three Lap;No;MR;PAL;2016-11-27;2M 51.66S;171,66;773
Three Lap;No;Dan;PAL;2018-12-26;2M 51.66S;171,66;14
Three Lap;No;MR;PAL;2019-01-09;2M 51.64S;171,64;519
Three Lap;No;Dan;PAL;2020-06-11;2M 51.59S;171,59;0
Three Lap;No;Dan;PAL;2020-06-11;2M 51.55S;171,55;0
Three Lap;No;Dan;PAL;2020-06-11;2M 51.5S;171,50;0
Three Lap;No;Dan;PAL;2020-06-11;2M 51.37S;171,37;33
Three Lap;No;Dan;PAL;2020-07-14;2M 51.33S;171,33;2
Three Lap;No;Dan;PAL;2020-07-16;2M 51.26S;171,26;53
Three Lap;No;Dan;PAL;2020-09-07;2M 51.25S;171,25;172
Single Lap;No;Gregg G;NTSC;1997-03-10;1M 0.85S;60,85;78
Single Lap;No;Launspach;NTSC;1997-05-27;59.89S;59,89;95
Single Lap;No;Launspach;NTSC;1997-08-30;58.46S;58,46;195
Single Lap;No;Jonathan;NTSC;1998-03-13;57.97S;57,97;160
Single Lap;No;Peter E;PAL;1998-08-20;57.86S;57,86;13
Single Lap;No;Penev;PAL;1998-09-02;57.79S;57,79;2
Single Lap;No;Penev;PAL;1998-09-04;57.75S;57,75;2
Single Lap;No;Penev;PAL;1998-09-06;57.31S;57,31;24
Single Lap;No;Penev;PAL;1998-09-30;57.22S;57,22;168
Single Lap;No;Penev;PAL;1999-03-17;57.08S;57,08;3
Single Lap;No;Penev;PAL;1999-03-20;56.99S;56,99;79
Single Lap;No;Penev;PAL;1999-06-07;56.89S;56,89;124
Single Lap;No;Zwartjes;PAL;1999-10-09;56.71S;56,71;143
Single Lap;No;Zwartjes;PAL;2000-02-29;56.61S;56,61;7
Single Lap;No;Zwartjes;PAL;2000-03-07;56.48S;56,48;730
Single Lap;No;Sami;PAL;2002-03-07;56.45S;56,45;458
Single Lap;No;MJ;PAL;2003-06-08;56.39S;56,39;3
Single Lap;No;Sami;PAL;2003-06-11;56.39S;56,39;0
Single Lap;No;Sami;PAL;2003-06-11;56.32S;56,32;20
Single Lap;No;MJ;PAL;2003-07-01;56.17S;56,17;18
Single Lap;No;MJ;PAL;2003-07-19;56.09S;56,09;55
Single Lap;No;Troy;NTSC;2003-09-12;56.03S;56,03;2
Single Lap;No;Troy;NTSC;2003-09-14;55.91S;55,91;4
Single Lap;No;Troy;NTSC;2003-09-18;55.82S;55,82;1630
Single Lap;No;MJ;PAL;2008-03-05;55.8S;55,80;1630
Single Lap;No;VAJ;PAL;2012-08-21;55.75S;55,75;504
Single Lap;No;MR;PAL;2013-09-19;55.75S;55,75;110
Single Lap;No;MR;PAL;2014-01-07;55.71S;55,71;206
Single Lap;No;MR;PAL;2014-08-01;55.67S;55,67;0
Single Lap;No;MR;PAL;2014-08-01;55.66S;55,66;1
Single Lap;No;MR;PAL;2014-08-02;55.63S;55,63;1607
Single Lap;No;Zoran;PAL;2018-08-20;55.63S;55,63;128
Single Lap;No;Dan;PAL;2018-12-26;55.56S;55,56;14
Single Lap;No;MR;PAL;2019-01-09;55.55S;55,55;519
Single Lap;No;Dan;PAL;2019-07-25;55.55S;55,55;322
Single Lap;No;Dan;PAL;2020-06-11;55.5S;55,50;260
Three Lap;Yes;Wonn;NTSC;1997-04-19;2M 14.61S;134,61;133
Three Lap;Yes;Booth;NTSC;1997-08-30;2M 9.59S;129,59;106
Three Lap;Yes;Zwartjes;PAL;1997-12-14;2M 8.14S;128,14;219
Three Lap;Yes;Penev;PAL;1998-07-21;2M 7.83S;127,83;63
Three Lap;Yes;Penev;PAL;1998-09-22;2M 6.65S;126,65;26
Three Lap;Yes;Jonathan;NTSC;1998-10-18;2M 5.04S;125,04;33
Three Lap;Yes;JWhalls;NTSC;1998-11-20;2M 4.41S;124,41;121
Three Lap;Yes;Penev;PAL;1999-03-21;2M 4.24S;124,24;5
Three Lap;Yes;Greg I;NTSC;1999-03-26;2M 4.2S;124,20;53
Three Lap;Yes;Mike S;NTSC;1999-05-18;2M 3.59S;123,59;34
Three Lap;Yes;Greg I;NTSC;1999-06-21;2M 2.75S;122,75;1524
Three Lap;Yes;Ben M;PAL;2003-08-23;2M 2.19S;122,19;279
Three Lap;Yes;Myles;NTSC;2004-05-28;2M 1.74S;121,74;298
