type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Launspach;NTSC;1997-05-27;2M 4S;124,00;95
Three Lap;No;Booth;NTSC;1997-08-30;2M 2.72S;122,72;11
Three Lap;No;Launspach;NTSC;1997-09-10;2M 2.57S;122,57;95
Three Lap;No;Zwartjes;PAL;1997-12-14;2M 1.72S;121,72;85
Three Lap;No;Peter E;PAL;1998-03-09;2M 0.91S;120,91;4
Three Lap;No;Booth;NTSC;1998-03-13;2M 0.83S;120,83;9
Three Lap;No;Peter E;NTSC;1998-03-22;2M 0.26S;120,26;184
Three Lap;No;Penev;PAL;1998-09-22;1M 59.97S;119,97;10
Three Lap;No;Peter E;PAL;1998-10-02;1M 59.94S;119,94;55
Three Lap;No;Penev;PAL;1998-11-26;1M 59.77S;119,77;20
Three Lap;No;Penev;PAL;1998-12-16;1M 59.55S;119,55;7
Three Lap;No;Penev;PAL;1998-12-23;1M 59.38S;119,38;60
Three Lap;No;Penev;PAL;1999-02-21;1M 59.04S;119,04;101
Three Lap;No;Peter E;NTSC;1999-06-02;1M 58.56S;118,56;3
Three Lap;No;Zwartjes;PAL;1999-06-05;1M 58.5S;118,50;125
Three Lap;No;Penev;PAL;1999-10-08;1M 58.49S;118,49;0
Three Lap;No;Penev;PAL;1999-10-08;1M 58.41S;118,41;0
Three Lap;No;Mike S;NTSC;1999-10-08;1M 58.08S;118,08;0
Three Lap;No;Penev;PAL;1999-10-08;1M 58.03S;118,03;0
Three Lap;No;Penev;PAL;1999-10-08;1M 57.92S;117,92;6
Three Lap;No;Penev;PAL;1999-10-14;1M 57.91S;117,91;0
Three Lap;No;Penev;PAL;1999-10-14;1M 57.86S;117,86;0
Three Lap;No;Penev;PAL;1999-10-14;1M 57.83S;117,83;17
Three Lap;No;Zwartjes;PAL;1999-10-31;1M 57.65S;117,65;100
Three Lap;No;Zwartjes;PAL;2000-02-08;1M 57.39S;117,39;7
Three Lap;No;Zwartjes;PAL;2000-02-15;1M 57.32S;117,32;198
Three Lap;No;Penev;PAL;2000-08-31;1M 57.09S;117,09;0
Three Lap;No;Penev;PAL;2000-08-31;1M 57.03S;117,03;655
Three Lap;No;Lacey;PAL;2002-06-17;1M 56.98S;116,98;367
Three Lap;No;MJ;PAL;2003-06-19;1M 56.8S;116,80;43
Three Lap;No;MJ;PAL;2003-08-01;1M 56.67S;116,67;0
Three Lap;No;MJ;PAL;2003-08-01;1M 56.65S;116,65;90
Three Lap;No;MJ;PAL;2003-10-30;1M 56.63S;116,63;550
Three Lap;No;Pobre;NTSC;2005-05-02;1M 56.6S;116,60;58
Three Lap;No;MJ;PAL;2005-06-29;1M 56.54S;116,54;0
Three Lap;No;MJ;PAL;2005-06-29;1M 56.52S;116,52;0
Three Lap;No;MJ;PAL;2005-06-29;1M 56.41S;116,41;0
Three Lap;No;MJ;PAL;2005-06-29;1M 56.27S;116,27;204
Three Lap;No;Eddie T;NTSC;2006-01-19;1M 56.26S;116,26;3
Three Lap;No;MJ;PAL;2006-01-22;1M 56.15S;116,15;2406
Three Lap;No;MR;PAL;2012-08-24;1M 56.15S;116,15;0
Three Lap;No;MR;PAL;2012-08-24;1M 55.93S;115,93;120
Three Lap;No;MJ;PAL;2012-12-22;1M 55.89S;115,89;46
Three Lap;No;MR;PAL;2013-02-06;1M 55.86S;115,86;656
Three Lap;No;MR;PAL;2014-11-24;1M 55.7S;115,70;206
Three Lap;No;MR;PAL;2015-06-18;1M 55.65S;115,65;378
Three Lap;No;Dan;PAL;2016-06-28;1M 55.65S;115,65;2
Three Lap;No;MR;PAL;2016-06-30;1M 55.6S;115,60;0
Three Lap;No;MR;PAL;2016-06-30;1M 55.57S;115,57;0
Three Lap;No;Dan;PAL;2016-06-30;1M 55.56S;115,56;2
Three Lap;No;MR;PAL;2016-07-02;1M 55.53S;115,53;7
Three Lap;No;Dan;PAL;2016-07-02;1M 55.53S;115,53;7
Three Lap;No;MR;PAL;2016-07-09;1M 55.47S;115,47;357
Three Lap;No;Dan;PAL;2017-07-01;1M 55.45S;115,45;8
Three Lap;No;MR;PAL;2017-07-09;1M 55.43S;115,43;511
Three Lap;No;Dan;PAL;2018-12-02;1M 55.34S;115,34;3
Three Lap;No;MR;PAL;2018-12-05;1M 55.31S;115,31;416
Three Lap;No;Dan;PAL;2020-01-25;1M 55.29S;115,29;4
Three Lap;No;MR;PAL;2020-01-29;1M 55.22S;115,22;134
Three Lap;No;Dan;PAL;2020-06-11;1M 55.2S;115,20;8
Three Lap;No;MR;PAL;2020-06-19;1M 55.19S;115,19;205
Three Lap;No;Dan;PAL;2020-10-04;1M 55.19S;115,19;98
Three Lap;No;Dan;PAL;2021-01-10;1M 55.17S;115,17;16
Three Lap;No;MR;PAL;2021-01-16;1M 55.17S;115,17;10
Three Lap;No;MR;PAL;2021-01-26;1M 55.16S;115,16;0
Three Lap;No;MR;PAL;2021-01-26;1M 55.15S;115,15;31
Single Lap;No;Gregg G;NTSC;1997-03-10;42.7S;42,70;31
Single Lap;No;Booth;NTSC;1997-04-10;41.39S;41,39;47
Single Lap;No;Launspach;NTSC;1997-05-27;40.76S;40,76;95
Single Lap;No;Booth;NTSC;1997-08-30;39.92S;39,92;191
Single Lap;No;Zwartjes;PAL;1998-03-09;39.55S;39,55;153
Single Lap;No;Penev;PAL;1998-08-09;39.47S;39,47;24
Single Lap;No;Penev;PAL;1998-09-02;39.43S;39,43;20
Single Lap;No;Penev;PAL;1998-09-22;39.39S;39,39;10
Single Lap;No;Peter E;PAL;1998-10-02;39.35S;39,35;9
Single Lap;No;Booth;NTSC;1998-10-11;39.27S;39,27;22
Single Lap;No;Booth;NTSC;1998-11-02;39.13S;39,13;44
Single Lap;No;Peter E;NTSC;1998-12-16;39.1S;39,10;34
Single Lap;No;Penev;PAL;1999-01-19;39.09S;39,09;15
Single Lap;No;Peter E;NTSC;1999-02-03;38.98S;38,98;18
Single Lap;No;Penev;PAL;1999-02-21;38.86S;38,86;108
Single Lap;No;Zwartjes;PAL;1999-06-09;38.65S;38,65;121
Single Lap;No;Mike S;NTSC;1999-10-08;38.57S;38,57;0
Single Lap;No;Penev;PAL;1999-10-08;38.56S;38,56;6
Single Lap;No;Penev;PAL;1999-10-14;38.55S;38,55;21
Single Lap;No;Zwartjes;PAL;1999-11-04;38.34S;38,34;101
Single Lap;No;Zwartjes;PAL;2000-02-13;38.17S;38,17;1225
Single Lap;No;MJ;PAL;2003-06-22;38.09S;38,09;935
Single Lap;No;Eddie T;NTSC;2006-01-12;38.08S;38,08;6
Single Lap;No;MJ;PAL;2006-01-18;38.04S;38,04;1977
Single Lap;No;MR;PAL;2011-06-18;37.96S;37,96;288
Single Lap;No;Zoran;PAL;2012-04-01;37.93S;37,93;148
Single Lap;No;MR;PAL;2012-08-27;37.93S;37,93;0
Single Lap;No;MR;PAL;2012-08-27;37.9S;37,90;491
Single Lap;No;MR;PAL;2013-12-31;37.88S;37,88;1397
Single Lap;No;Dan;PAL;2016-07-09;37.88S;37,88;476
Single Lap;No;MR;PAL;2017-10-28;37.82S;37,82;646
Single Lap;No;Dan;PAL;2019-08-05;37.75S;37,75;472
Single Lap;No;MR;PAL;2020-11-19;37.74S;37,74;77
Single Lap;No;Dan;PAL;2021-02-04;37.73S;37,73;15
Single Lap;No;MR;PAL;2021-02-19;37.72S;37,72;7
Three Lap;Yes;Dan;PAL;2020-10-12;1M 54.7S;114,70;25
Three Lap;Yes;abney317;PAL;2020-11-06;1M 47.67S;107,67;0
Three Lap;Yes;abney317;NTSC;2020-11-06;1M 47.25S;107,25;0
Three Lap;Yes;abney317;NTSC;2020-11-06;1M 40.93S;100,93;0
Three Lap;Yes;abney317;NTSC;2020-11-06;1M 40.06S;100,06;6
Three Lap;Yes;abney317;NTSC;2020-11-12;1M 37.36S;97,36;1
Three Lap;Yes;abney317;NTSC;2020-11-13;1M 31.65S;91,65;105
Single Lap;Yes;Gregg G;NTSC;1997-03-10;42.7S;42,70;31
Single Lap;Yes;Booth;NTSC;1997-04-10;41.39S;41,39;47
Single Lap;Yes;Launspach;NTSC;1997-05-27;40.76S;40,76;95
Single Lap;Yes;Booth;NTSC;1997-08-30;39.92S;39,92;191
Single Lap;Yes;Zwartjes;PAL;1998-03-09;39.55S;39,55;153
