type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;3M 10.12S;190,12;31
Three Lap;No;Booth;NTSC;1997-04-10;3M 6.53S;186,53;142
Three Lap;No;Booth;NTSC;1997-08-30;3M 5.27S;185,27;7
Three Lap;No;Booth;NTSC;1997-09-06;3M 4.78S;184,78;188
Three Lap;No;Jonathan;NTSC;1998-03-13;3M 3.25S;183,25;118
Three Lap;No;Booth;NTSC;1998-07-09;3M 2.9S;182,90;64
Three Lap;No;Penev;PAL;1998-09-11;3M 2.59S;182,59;2
Three Lap;No;Penev;PAL;1998-09-13;3M 2.4S;182,40;9
Three Lap;No;Penev;PAL;1998-09-22;3M 1.94S;181,94;27
Three Lap;No;Penev;PAL;1998-10-19;3M 1.91S;181,91;5
Three Lap;No;Penev;PAL;1998-10-24;3M 1.68S;181,68;97
Three Lap;No;Booth;NTSC;1999-01-29;3M 1.62S;181,62;0
Three Lap;No;Penev;PAL;1999-01-29;3M 1.27S;181,27;63
Three Lap;No;Penev;PAL;1999-04-02;3M 1.23S;181,23;26
Three Lap;No;Penev;PAL;1999-04-28;3M 1.03S;181,03;35
Three Lap;No;Sami;PAL;1999-06-02;3M 0.84S;180,84;154
Three Lap;No;Zwartjes;PAL;1999-11-03;3M 0.39S;180,39;91
Three Lap;No;Booth;NTSC;2000-02-02;3M 0.31S;180,31;13
Three Lap;No;Zwartjes;PAL;2000-02-15;3M 0.02S;180,02;17
Three Lap;No;Zwartjes;PAL;2000-03-03;2M 59.85S;179,85;1158
Three Lap;No;MJ;PAL;2003-05-05;2M 59.63S;179,63;466
Three Lap;No;Troy;NTSC;2004-08-13;2M 59.57S;179,57;31
Three Lap;No;MJ;PAL;2004-09-13;2M 59.42S;179,42;47
Three Lap;No;MJ;PAL;2004-10-30;2M 59.35S;179,35;0
Three Lap;No;MJ;PAL;2004-10-30;2M 59.25S;179,25;0
Three Lap;No;MJ;PAL;2004-10-30;2M 59.1S;179,10;1897
Three Lap;No;MJ;PAL;2010-01-09;2M 59.04S;179,04;0
Three Lap;No;MJ;PAL;2010-01-09;2M 58.92S;178,92;927
Three Lap;No;MR;PAL;2012-07-24;2M 58.88S;178,88;54
Three Lap;No;MJ;PAL;2012-09-16;2M 58.82S;178,82;151
Three Lap;No;MR;PAL;2013-02-14;2M 58.79S;178,79;402
Three Lap;No;MR;PAL;2014-03-23;2M 58.76S;178,76;128
Three Lap;No;MR;PAL;2014-07-29;2M 58.63S;178,63;917
