type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Launspach;NTSC;1997-05-27;4M 40.34S;280,34;76
Three Lap;No;Launspach;NTSC;1997-08-11;4M 36.34S;276,34;138
Three Lap;No;Peter E;PAL;1997-12-27;4M 34.9S;274,90;76
Three Lap;No;Booth;NTSC;1998-03-13;4M 34.05S;274,05;130
Three Lap;No;Penev;PAL;1998-07-21;4M 33.65S;273,65;10
Three Lap;No;Peter E;PAL;1998-07-31;4M 32.93S;272,93;0
Three Lap;No;Peter E;PAL;1998-07-31;4M 31.26S;271,26;20
Three Lap;No;Peter E;PAL;1998-08-20;4M 31.1S;271,10;12
Three Lap;No;Peter E;PAL;1998-09-01;4M 30.79S;270,79;5
Three Lap;No;Penev;PAL;1998-09-06;4M 30.75S;270,75;5
Three Lap;No;Penev;PAL;1998-09-11;4M 29.61S;269,61;11
Three Lap;No;Penev;PAL;1998-09-22;4M 29.44S;269,44;16
Three Lap;No;Penev;PAL;1998-10-08;4M 29.11S;269,11;16
Three Lap;No;Penev;PAL;1998-10-24;4M 28.28S;268,28;33
Three Lap;No;Penev;PAL;1998-11-26;4M 27.56S;267,56;87
Three Lap;No;Penev;PAL;1999-02-21;4M 27.44S;267,44;6
Three Lap;No;Penev;PAL;1999-02-27;4M 27.05S;267,05;66
Three Lap;No;Penev;PAL;1999-05-04;4M 26.5S;266,50;192
Three Lap;No;Zwartjes;PAL;1999-11-12;4M 25.72S;265,72;802
Three Lap;No;Sami;PAL;2002-01-22;4M 25.64S;265,64;19
Three Lap;No;Sami;PAL;2002-02-10;4M 25S;265,00;0
Three Lap;No;Sami;PAL;2002-02-10;4M 24.52S;264,52;856
Three Lap;No;Luke B;NTSC;2004-06-15;4M 24.34S;264,34;2
Three Lap;No;Luke B;NTSC;2004-06-17;4M 24.11S;264,11;0
Three Lap;No;Luke B;NTSC;2004-06-17;4M 23.99S;263,99;85
Three Lap;No;MJ;PAL;2004-09-10;4M 23.73S;263,73;5
Three Lap;No;Luke B;NTSC;2004-09-15;4M 23.57S;263,57;147
Three Lap;No;MJ;PAL;2005-02-09;4M 23.33S;263,33;56
Three Lap;No;Troy;NTSC;2005-04-06;4M 23.25S;263,25;8
Three Lap;No;MJ;PAL;2005-04-14;4M 23.17S;263,17;1536
Three Lap;No;Lacey;PAL;2009-06-28;4M 23.12S;263,12;7
Three Lap;No;MJ;PAL;2009-07-05;4M 23S;263,00;570
Three Lap;No;MR;PAL;2011-01-25;4M 23S;263,00;1
Three Lap;No;TJL;PAL;2011-01-26;4M 23S;263,00;0
Three Lap;No;TJL;PAL;2011-01-26;4M 22.9S;262,90;1
Three Lap;No;MR;PAL;2011-01-27;4M 22.67S;262,67;3
Three Lap;No;MJ;PAL;2011-01-30;4M 22.5S;262,50;2
Three Lap;No;MR;PAL;2011-02-01;4M 22.39S;262,39;1
Three Lap;No;MJ;PAL;2011-02-02;4M 21.83S;261,83;758
Three Lap;No;MR;PAL;2013-03-01;4M 21.7S;261,70;634
Three Lap;No;MR;PAL;2014-11-25;4M 21.68S;261,68;2
Three Lap;No;MR;PAL;2014-11-27;4M 21.54S;261,54;423
Three Lap;No;MR;PAL;2016-01-24;4M 21.49S;261,49;0
Three Lap;No;MR;PAL;2016-01-24;4M 21.41S;261,41;0
Three Lap;No;MR;PAL;2016-01-24;4M 21.22S;261,22;1
Three Lap;No;MR;PAL;2016-01-25;4M 21.16S;261,16;245
Three Lap;No;Dan;PAL;2016-09-26;4M 21.11S;261,11;0
Three Lap;No;Dan;PAL;2016-09-26;4M 20.9S;260,90;6
Three Lap;No;Dan;PAL;2016-10-02;4M 20.75S;260,75;1
Three Lap;No;MR;PAL;2016-10-03;4M 20.7S;260,70;1
Three Lap;No;Dan;PAL;2016-10-04;4M 20.67S;260,67;2
Three Lap;No;MR;PAL;2016-10-06;4M 20.48S;260,48;267
Three Lap;No;Dan;PAL;2017-06-30;4M 20.47S;260,47;168
Three Lap;No;MR;PAL;2017-12-15;4M 20.42S;260,42;506
Three Lap;No;Dan;PAL;2019-05-05;4M 20.04S;260,04;159
Three Lap;No;MR;PAL;2019-10-11;4M 20.01S;260,01;504
Single Lap;No;Launspach;NTSC;1997-05-27;1M 32.77S;92,77;95
Single Lap;No;Launspach;NTSC;1997-08-30;1M 31.14S;91,14;195
Single Lap;No;Booth;NTSC;1998-03-13;1M 30.37S;90,37;130
Single Lap;No;Penev;PAL;1998-07-21;1M 29.93S;89,93;30
Single Lap;No;Peter E;PAL;1998-08-20;1M 29.82S;89,82;4
Single Lap;No;Penev;PAL;1998-08-24;1M 29.78S;89,78;8
