type;shortcut;player;system_played;date;time_period;time;record_duration
Three Lap;No;Gregg G;NTSC;1997-03-10;2M 0.65S;120,65;78
Three Lap;No;Launspach;NTSC;1997-05-27;1M 54.85S;114,85;95
Three Lap;No;Launspach;NTSC;1997-08-30;1M 51.55S;111,55;7
Three Lap;No;Booth;NTSC;1997-09-06;1M 51.25S;111,25;5
Three Lap;No;David B;NTSC;1997-09-11;1M 50.7S;110,70;32
Three Lap;No;David K;PAL;1997-10-13;1M 49.02S;109,02;62
Three Lap;No;Zwartjes;PAL;1997-12-14;1M 48.83S;108,83;85
Three Lap;No;Zwartjes;PAL;1998-03-09;1M 47.74S;107,74;7
Three Lap;No;Peter E;NTSC;1998-03-16;1M 47.53S;107,53;7
Three Lap;No;Peter E;PAL;1998-03-23;1M 46.98S;106,98;201
Three Lap;No;Penev;PAL;1998-10-10;1M 46.86S;106,86;96
Three Lap;No;Penev;PAL;1999-01-14;1M 46.51S;106,51;20
Three Lap;No;Peter E;NTSC;1999-02-03;1M 46.3S;106,30;71
Three Lap;No;Peter E;PAL;1999-04-15;1M 45.95S;105,95;1
Three Lap;No;Peter E;NTSC;1999-04-16;1M 45.7S;105,70;211
Three Lap;No;Mike S;NTSC;1999-11-13;1M 44.97S;104,97;121
Three Lap;No;Mike S;NTSC;2000-03-13;1M 44.9S;104,90;15
Three Lap;No;Mike S;NTSC;2000-03-28;1M 44.72S;104,72;265
Three Lap;No;Mike S;NTSC;2000-12-18;1M 44.4S;104,40;210
Three Lap;No;Lacey;PAL;2001-07-16;1M 44.37S;104,37;238
Three Lap;No;Sami;PAL;2002-03-11;1M 44.35S;104,35;386
Three Lap;No;MJ;PAL;2003-04-01;1M 44.34S;104,34;0
Three Lap;No;MJ;PAL;2003-04-01;1M 44.24S;104,24;1
Three Lap;No;MJ;PAL;2003-04-02;1M 44.04S;104,04;1
Three Lap;No;MJ;PAL;2003-04-03;1M 43.96S;103,96;68
Three Lap;No;Sami;PAL;2003-06-10;1M 43.5S;103,50;646
Three Lap;No;MJ;PAL;2005-03-17;1M 43.38S;103,38;23
Three Lap;No;Pobre;NTSC;2005-03-21;1M 43.38S;103,38;19
Three Lap;No;Pobre;NTSC;2005-04-09;1M 43.37S;103,37;0
Three Lap;No;MJ;PAL;2005-04-09;1M 43.17S;103,17;154
Three Lap;No;Karlo;NTSC;2005-09-10;1M 43.08S;103,08;910
Three Lap;No;MJ;PAL;2008-03-08;1M 42.94S;102,94;1971
Three Lap;No;MR;PAL;2013-07-31;1M 42.9S;102,90;776
Three Lap;No;Dan;PAL;2015-09-15;1M 42.8S;102,80;1
Three Lap;No;MR;PAL;2015-09-16;1M 42.68S;102,68;143
Three Lap;No;Dan;PAL;2016-02-06;1M 42.66S;102,66;3
Three Lap;No;MR;PAL;2016-02-09;1M 42.61S;102,61;7
Three Lap;No;Dan;PAL;2016-02-16;1M 42.59S;102,59;0
Three Lap;No;Dan;PAL;2016-02-16;1M 42.52S;102,52;13
Three Lap;No;MR;PAL;2016-02-29;1M 42.35S;102,35;349
Three Lap;No;Dan;PAL;2017-02-12;1M 42.33S;102,33;0
Three Lap;No;Dan;PAL;2017-02-12;1M 42.28S;102,28;330
Three Lap;No;MR;PAL;2018-01-08;1M 42.27S;102,27;302
Three Lap;No;Dan;PAL;2018-11-06;1M 42.26S;102,26;5
Three Lap;No;MR;PAL;2018-11-11;1M 42.24S;102,24;578
Three Lap;No;Dan;PAL;2020-06-11;1M 42.22S;102,22;37
Three Lap;No;MR;PAL;2020-07-18;1M 42.21S;102,21;173
Three Lap;No;Dan;PAL;2021-01-07;1M 42.2S;102,20;19
Three Lap;No;MR;PAL;2021-01-23;1M 42.2S;102,20;3
Three Lap;No;MR;PAL;2021-01-26;1M 42.13S;102,13;31
Single Lap;No;Gregg G;NTSC;1997-03-07;39.49S;39,49;35
Single Lap;No;Booth;NTSC;1997-04-11;37.33S;37,33;46
Single Lap;No;Launspach;NTSC;1997-05-27;35.7S;35,70;95
Single Lap;No;JWhalls;NTSC;1997-08-30;33.41S;33,41;191
Single Lap;No;Zwartjes;PAL;1998-03-09;33.39S;33,39;4
Single Lap;No;Jonathan;NTSC;1998-03-13;33.08S;33,08;157
Single Lap;No;Peter E;NTSC;1998-08-17;32.71S;32,71;45
Single Lap;No;Penev;PAL;1998-10-01;32.59S;32,59;8
Single Lap;No;Penev;PAL;1998-10-09;32.54S;32,54;102
Single Lap;No;Penev;PAL;1999-01-19;32.48S;32,48;26
Single Lap;No;Penev;PAL;1999-02-14;32.46S;32,46;46
Single Lap;No;Penev;PAL;1999-04-01;32.42S;32,42;7
Single Lap;No;Penev;PAL;1999-04-08;32.25S;32,25;7
Single Lap;No;Peter E;NTSC;1999-04-14;32.25S;32,25;1
Single Lap;No;Peter E;PAL;1999-04-15;32.22S;32,22;167
Single Lap;No;Mike S;NTSC;1999-09-29;31.94S;31,94;167
Single Lap;No;Mike S;NTSC;2000-03-14;31.84S;31,84;0
Single Lap;No;Mike S;NTSC;2000-03-14;31.8S;31,80;243
Single Lap;No;Mike S;NTSC;2000-11-12;31.77S;31,77;940
Single Lap;No;MJ;PAL;2003-04-02;31.77S;31,77;69
Single Lap;No;Sami;PAL;2003-06-10;31.75S;31,75;49
Single Lap;No;MJ;PAL;2003-07-29;31.71S;31,71;620
Single Lap;No;Karlo;NTSC;2005-03-13;31.71S;31,71;27
Single Lap;No;Pobre;NTSC;2005-03-21;31.71S;31,71;19
Single Lap;No;Pobre;NTSC;2005-04-09;31.65S;31,65;0
Single Lap;No;MJ;PAL;2005-04-09;31.61S;31,61;20
Single Lap;No;Michael F;NTSC;2005-04-29;31.56S;31,56;61
Single Lap;No;Karlo;NTSC;2005-04-29;31.56S;31,56;61
Single Lap;No;MJ;PAL;2005-06-28;31.56S;31,56;1
Single Lap;No;Michael F;NTSC;2005-06-29;31.48S;31,48;2623
Single Lap;No;VAJ;PAL;2012-09-03;31.47S;31,47;200
Single Lap;No;MR;PAL;2013-02-05;31.47S;31,47;45
Single Lap;No;VAJ;PAL;2013-03-22;31.44S;31,44;178
Single Lap;No;MR;PAL;2013-09-16;31.37S;31,37;889
Single Lap;No;Dan;PAL;2016-02-16;31.37S;31,37;6
Single Lap;No;MR;PAL;2016-02-22;31.35S;31,35;170
Single Lap;No;Dan;PAL;2016-08-10;31.33S;31,33;172
Single Lap;No;MR;PAL;2016-10-17;31.33S;31,33;104
Single Lap;No;Dan;PAL;2017-01-29;31.31S;31,31;348
Single Lap;No;MR;PAL;2018-01-12;31.29S;31,29;1
Single Lap;No;Dan;PAL;2018-01-13;31.27S;31,27;5
Single Lap;No;MR;PAL;2018-01-18;31.25S;31,25;1135
Single Lap;No;Dan;PAL;2021-01-01;31.25S;31,25;56
Three Lap;Yes;Wonn;NTSC;1997-04-19;1M 28.21S;88,21;122
Three Lap;Yes;Booth;NTSC;1997-08-19;35.51S;35,51;415
Three Lap;Yes;Penev;PAL;1998-08-09;35.51S;35,51;60
Three Lap;Yes;Penev;PAL;1998-10-08;35.19S;35,19;1
Three Lap;Yes;Penev;PAL;1998-10-09;34.43S;34,43;9
Three Lap;Yes;Jonathan;NTSC;1998-10-18;34.22S;34,22;126
Three Lap;Yes;Penev;PAL;1999-02-21;33.99S;33,99;33
Three Lap;Yes;Myles;NTSC;1999-03-26;33.98S;33,98;86
Three Lap;Yes;Jonathan;NTSC;1999-04-28;33.98S;33,98;53
Three Lap;Yes;Myles;NTSC;1999-06-20;33.82S;33,82;23
Three Lap;Yes;Greg I;NTSC;1999-07-13;33.67S;33,67;1763
Three Lap;Yes;Myles;NTSC;2000-03-23;33.67S;33,67;1509
Three Lap;Yes;Myles;NTSC;2004-05-10;33.58S;33,58;2284
Three Lap;Yes;Karlo;NTSC;2010-08-03;33.58S;33,58;8
Three Lap;Yes;Karlo;NTSC;2010-08-11;33.5S;33,50;77
Three Lap;Yes;Alex G;PAL;2010-10-27;33.47S;33,47;2
Three Lap;Yes;Karlo;NTSC;2010-10-29;33.43S;33,43;29
Three Lap;Yes;Alex G;PAL;2010-11-04;33.43S;33,43;23
Three Lap;Yes;Alex G;PAL;2010-11-27;33.39S;33,39;3659
Three Lap;Yes;VAJ;PAL;2012-06-05;33.39S;33,39;3103
Three Lap;Yes;Greg I;PAL;2013-07-31;33.39S;33,39;2682
Three Lap;Yes;abney317;NTSC;2016-04-27;33.39S;33,39;1681
Three Lap;Yes;abney317;NTSC;2020-12-03;33.35S;33,35;85
Three Lap;Yes;VAJ;PAL;2021-01-21;33.35S;33,35;36
Single Lap;Yes;Gregg G;NTSC;1997-03-07;39.49S;39,49;35
Single Lap;Yes;Booth;NTSC;1997-04-11;37.33S;37,33;46
Single Lap;Yes;Launspach;NTSC;1997-05-27;35.7S;35,70;95
Single Lap;Yes;JWhalls;NTSC;1997-08-30;33.41S;33,41;191
Single Lap;Yes;Zwartjes;PAL;1998-03-09;33.39S;33,39;4
Single Lap;Yes;Jonathan;NTSC;1998-03-13;33.08S;33,08;157
Single Lap;Yes;Peter E;NTSC;1998-08-17;32.71S;32,71;45
Single Lap;Yes;Penev;PAL;1998-10-01;32.59S;32,59;8
Single Lap;Yes;Penev;PAL;1998-10-09;32.54S;32,54;102
Single Lap;Yes;Penev;PAL;1999-01-19;32.48S;32,48;26
Single Lap;Yes;Penev;PAL;1999-02-14;32.46S;32,46;46
Single Lap;Yes;Penev;PAL;1999-04-01;32.42S;32,42;7
Single Lap;Yes;Penev;PAL;1999-04-08;32.25S;32,25;7
Single Lap;Yes;Peter E;NTSC;1999-04-14;32.25S;32,25;1
Single Lap;Yes;Peter E;PAL;1999-04-15;32.22S;32,22;167
Single Lap;Yes;Mike S;NTSC;1999-09-29;31.94S;31,94;167
Single Lap;Yes;Mike S;NTSC;2000-03-14;31.84S;31,84;0
Single Lap;Yes;Mike S;NTSC;2000-03-14;31.8S;31,80;243
Single Lap;Yes;Mike S;NTSC;2000-11-12;31.77S;31,77;940
Single Lap;Yes;MJ;PAL;2003-04-02;31.77S;31,77;69
Single Lap;Yes;Sami;PAL;2003-06-10;31.75S;31,75;49
Single Lap;Yes;MJ;PAL;2003-07-29;31.71S;31,71;620
Single Lap;Yes;Karlo;NTSC;2005-03-13;31.71S;31,71;27
Single Lap;Yes;Pobre;NTSC;2005-03-21;31.71S;31,71;19
Single Lap;Yes;Pobre;NTSC;2005-04-09;31.65S;31,65;0
Single Lap;Yes;MJ;PAL;2005-04-09;31.61S;31,61;20
Single Lap;Yes;Michael F;NTSC;2005-04-29;31.56S;31,56;61
Single Lap;Yes;Karlo;NTSC;2005-04-29;31.56S;31,56;61
Single Lap;Yes;MJ;PAL;2005-06-28;31.56S;31,56;1
Single Lap;Yes;Michael F;NTSC;2005-06-29;31.48S;31,48;2623
Single Lap;Yes;VAJ;PAL;2012-09-03;31.47S;31,47;200
Single Lap;Yes;MR;PAL;2013-02-05;31.47S;31,47;45
Single Lap;Yes;VAJ;PAL;2013-03-22;31.44S;31,44;178
Single Lap;Yes;MR;PAL;2013-09-16;31.37S;31,37;889
Single Lap;Yes;Dan;PAL;2016-02-16;31.37S;31,37;6
Single Lap;Yes;MR;PAL;2016-02-22;31.35S;31,35;170
Single Lap;Yes;Dan;PAL;2016-08-10;31.33S;31,33;172
Single Lap;Yes;MR;PAL;2016-10-17;31.33S;31,33;104
Single Lap;Yes;Dan;PAL;2017-01-29;31.31S;31,31;348
Single Lap;Yes;MR;PAL;2018-01-12;31.29S;31,29;1
Single Lap;Yes;Dan;PAL;2018-01-13;31.27S;31,27;5
Single Lap;Yes;MR;PAL;2018-01-18;31.25S;31,25;1135
Single Lap;Yes;Dan;PAL;2021-01-01;31.25S;31,25;56
